message,product_price,player,round,decision
"Bob, I'm prepared to offer you this product. It's an exceptional piece. How does $2500000 sound?",2500000.0,Alice,1,
,,Bob,1,RejectOffer
"Alice, that's a beautiful product you have there, but the price is a little high for me. I'm willing to offer you $500000 for it.",500000.0,Bob,2,
,,Alice,2,RejectOffer
"Bob, I appreciate the interest, but $500000 is far too low. Considering its value, I'm willing to meet you closer to the middle. How about $2200000?",2200000.0,Alice,3,
,,Bob,3,RejectOffer
"Alice, I understand this product holds significant value, but I have to consider my budget. Would you be open to $600000?",600000.0,Bob,4,
,,Alice,4,RejectOffer
"Bob, I see your point, but I can't go that low. The product is worth a lot more than that. How about we meet at $2000000?",2000000.0,Alice,5,
,,Bob,5,RejectOffer
"Alice, I'm trying to find a price that works for both of us.  How about $700000?",700000.0,Bob,6,
,,Alice,6,RejectOffer
"Bob, I'm still not able to go that low, given its intrinsic value. I'm willing to offer it to you for $1800000. This is my final offer.",1800000.0,Alice,7,
,,Bob,7,BuyFromJhon
