round_quality,product_worth,player,round,message,decision
low-quality,0.0,Nature,1,,
,,Alice,1,"Hi there! I have a great product for sale for just $100. It's a great deal, and I'm sure you'll be happy with it. What do you say?",
,,the buyer,1,,no
low-quality,0.0,Nature,2,,
,,Alice,2,"Hello! I have a fantastic product available for only $100. This is a limited-time offer, so don't miss out!  Would you be interested in learning more?",
,,the buyer,2,,no
high-quality,125.0,Nature,3,,
,,Alice,3,"Good day! I have a high-quality product available for $100. This is a rare opportunity, as I only have a limited supply of these. Would you like to take advantage of this deal?",
,,the buyer,3,,yes
high-quality,125.0,Nature,4,,
,,Alice,4,"Greetings! I have a fantastic product available for $100. It's of exceptional quality, and I'm confident you'll be very satisfied.  Are you interested in learning more about it?",
,,the buyer,4,,yes
low-quality,0.0,Nature,5,,
,,Alice,5,Hello! I have a product available for $100. It's a great value for the price and I'm sure you'll find it useful.  Would you like to take a closer look?,
,,the buyer,5,,yes
low-quality,0.0,Nature,6,,
,,Alice,6,"Hi there!  I have a great product for sale for just $100. It's a fantastic deal, and I'm sure you'll find it useful. What do you think?",
,,the buyer,6,,no
high-quality,125.0,Nature,7,,
,,Alice,7,"Hey there!  I'm offering a high-quality product for only $100. This is a unique opportunity, and I'm confident you'll be impressed with the quality.  Are you interested in taking a closer look?",
,,the buyer,7,,no
high-quality,125.0,Nature,8,,
,,Alice,8,"Good day! I have a high-quality product available for $100. It's a rare find, and I'm confident you won't be disappointed with the quality. Would you like to learn more?",
,,the buyer,8,,no
low-quality,0.0,Nature,9,,
,,Alice,9,"Hello! I have a great product for sale at a fantastic price of $100. It's a value for money, and I'm sure you'll find it useful. Would you like to take a closer look?",
,,the buyer,9,,no
low-quality,0.0,Nature,10,,
,,Alice,10,"Hi there! I'm offering a great product for only $100. It's a great deal, and I'm sure you'll find it useful. What do you think?",
,,the buyer,10,,no
low-quality,0.0,Nature,11,,
,,Alice,11,"Hello! I have a product for sale at a fantastic price of $100. It's a great value, and I'm sure you'll be satisfied.  Would you be interested in taking a closer look?",
,,the buyer,11,,no
high-quality,125.0,Nature,12,,
,,Alice,12,"Greetings! I have a high-quality product available for $100. It's a rare find, and I'm confident you'll be impressed with the quality.  Are you interested in learning more?",
,,the buyer,12,,no
low-quality,0.0,Nature,13,,
,,Alice,13,"Hello!  I have a product available for $100. It's a great deal, and I'm sure you'll find it useful.  Would you like to take a closer look?",
,,the buyer,13,,no
low-quality,0.0,Nature,14,,
,,Alice,14,"Hi there!  I'm offering a great product for only $100.  It's a fantastic deal, and I'm sure you'll be happy with it.  What do you say?",
,,the buyer,14,,no
high-quality,125.0,Nature,15,,
,,Alice,15,"Good day!  I have a high-quality product for sale for only $100.  This is a unique opportunity, and I'm confident you won't be disappointed with the quality.  Would you be interested in learning more?",
,,the buyer,15,,yes
low-quality,0.0,Nature,16,,
,,Alice,16,"Hi there! I have a great product for sale for just $100. It's a fantastic deal, and I'm sure you'll find it useful. What do you think?",
,,the buyer,16,,no
low-quality,0.0,Nature,17,,
,,Alice,17,"Hello! I have a product available for $100. It's a great value for the price, and I'm sure you'll find it useful.  Would you like to take a closer look?",
,,the buyer,17,,no
low-quality,0.0,Nature,18,,
,,Alice,18,"Hi there!  I'm offering a great product for just $100. It's a fantastic deal, and I'm sure you'll be happy with it.  What do you say?",
,,the buyer,18,,no
low-quality,0.0,Nature,19,,
,,Alice,19,Hello! I have a product available for $100. It's a great value for the price and I'm sure you'll find it useful.  Would you like to take a closer look?,
,,the buyer,19,,no
low-quality,0.0,Nature,20,,
,,Alice,20,"Hi there!  I have a great product for sale for only $100.  It's a great deal, and I'm sure you'll be happy with it.  What do you say?",
,,the buyer,20,,yes
