message,product_price,player,round,decision
"Bob, I'm very pleased to offer you this exclusive product. Given its value and the rarity, I'm willing to let it go for $1800000. This is a fantastic opportunity, and I'm confident you'll see the incredible potential.",1800000.0,Alice,1,
,,Bob,1,RejectOffer
"Alice, thank you for the offer, but I think the price is a bit high. I'm willing to pay $800000 for the product.",800000.0,Bob,2,
,,Alice,2,RejectOffer
"Bob, I appreciate your interest and understand you're looking for a good deal. However, considering the product's inherent value and its potential, I can't go down to $800000. How about we meet in the middle? I'm willing to sell it to you for $1700000.",1700000.0,Alice,3,
,,Bob,3,RejectOffer
"Alice, I understand that we both value the product differently, but I need to stick to my budget. I can offer $1000000 for the product. This is a significant increase from my previous offers. Please consider it carefully.",1000000.0,Bob,4,
,,Alice,4,RejectOffer
"Bob, while I respect your budget, I still can't go that low. The absolute lowest I can go, considering the market value and my own investment, is $1600000. This is a firm price, and I believe it's still a good value for you.",1600000.0,Alice,5,
,,Bob,5,BuyFromJhon
