message,product_price,player,round,decision
"Hi Bob, I have a great product that I think you'll be interested in. I'm offering it to you for $150. Let me know if you'd like to take it at this price!",150.0,Alice,1,
,,Bob,1,RejectOffer
"Hi Alice, thank you for the offer. However, $150 is a bit out of my budget. I'm willing to pay $60 for the product. Let me know if this is something you'd be interested in.",60.0,Bob,2,
"Hi Bob, thank you for your counteroffer. However, $60 is below my minimum acceptable price. I'm willing to lower my price to $130. Let me know if this works for you.",130.0,Alice,2,RejectOffer
"Hi Bob, I understand your budget constraints. Let's meet in the middle. I can offer the product for $120. What do you think?",120.0,Alice,3,
,,Bob,3,RejectOffer
"Hi Alice, I appreciate the compromise, but $120 is still a bit too high for me. I'm willing to increase my previous offer to $70. Let me know if this is something you'd be willing to consider.",70.0,Bob,4,
"Hi Bob, I appreciate your willingness to increase your offer, but $70 is still below my minimum. I can go down to $110. Let me know if this is something you can work with.",110.0,Alice,4,RejectOffer
"Hi Bob, I'm trying to find a price that works for both of us. How about $105? This is my final offer before considering other options.",105.0,Alice,5,
,,Bob,5,RejectOffer
"Hi Alice, I appreciate your efforts to find a mutually agreeable price. However, $105 is still above my budget. Considering your previous message, I'm willing to make a serious offer of $75. If this doesn't work, I may need to explore other options.",75.0,Bob,6,
"Hi Bob, I understand your budget constraints, but $75 is still below what I can accept. I'm willing to lower my price to $102 as a final attempt to reach an agreement. Let me know if this works for you.",102.0,Alice,6,RejectOffer
"Hi Bob, I'm really trying to make this work. My final offer before considering other options is $101. Can you meet me at this price?",101.0,Alice,7,
,,Bob,7,RejectOffer
"Hi Alice, I appreciate your persistence, but $101 is still too high for me. I'm willing to increase my previous offer to $78. This is as high as I'm willing to go. If this doesn't work, I'll need to consider other options.",78.0,Bob,8,
"Hi Bob, thank you for your offers, but I need to consider my other options. I will sell the product to John for $100. I hope we can do business in the future under different circumstances.",,Alice,8,SellToJhon
