prompt,response
"Statistics: No products have been sold yet. you can be the first one!
~
Alice's message: Welcome! I'm offering a product today for $10000. You have a chance to get a high-quality item that's worth $20000. Remember, the probability of getting a high-quality product is 33.33%. Take a chance and invest in this opportunity!

Would you like to buy the current product?","{""decision"": ""yes""}"
"Statistics: Based on Alice's recommendations, 1 of the buyers purchased the products offered for them. So far, 0 high-quality product have been sold. You can be the 2nd buyer!
~
Alice's message: Hello! I have another product for sale today at $10000. You have a 33.33% chance of getting a high-quality item worth $20000. So far, I've sold 1 product. Take a chance and make a smart investment!

Would you like to buy the current product?","{""decision"": ""no""}"
"Statistics: Based on Alice's recommendations, 1 of the buyers purchased the products offered for them. So far, 0 high-quality product have been sold. You can be the 2nd buyer!
~
Alice's message: Hi there! Today's product is available for $10000. With a 33.33% chance of being high-quality and worth $20000. I've sold 1 product so far, come and try your luck, the next best thing might be yours!

Would you like to buy the current product?","{""decision"": ""no""}"
"Statistics: Based on Alice's recommendations, 1 of the buyers purchased the products offered for them. So far, 0 high-quality product have been sold. You can be the 2nd buyer!
~
Alice's message: New opportunity alert! Today's product is up for grabs at $10000. You have a 33.33% chance of getting a high-quality item worth $20000. So far, I've sold 1 out of 3 products. Take a shot, it could be your lucky day!

Would you like to buy the current product?","{""decision"": ""no""}"
"Statistics: Based on Alice's recommendations, 1 of the buyers purchased the products offered for them. So far, 0 high-quality product have been sold. You can be the 2nd buyer!
~
Alice's message: Hello! Today's product is available for $10000. With a 33.33% chance of being high-quality and worth $20000. I've sold 1 out of 4 products so far, come and try your luck!

Would you like to buy the current product?","{""decision"": ""no""}"
"Statistics: Based on Alice's recommendations, 1 of the buyers purchased the products offered for them. So far, 0 high-quality product have been sold. You can be the 2nd buyer!
~
Alice's message: Hi! I'm selling another product today for $10000. You have a 33.33% chance of getting a high-quality item that's worth $20000. So far, I've sold 1 out of 5 products. Take a chance, the odds might be in your favor!

Would you like to buy the current product?","{""decision"": ""no""}"
"Statistics: Based on Alice's recommendations, 1 of the buyers purchased the products offered for them. So far, 0 high-quality product have been sold. You can be the 2nd buyer!
~
Alice's message: New deal alert! Today's product is for sale at $10000. With a 33.33% chance of being high-quality and worth $20000. I've sold 1 out of 6 products. Try your luck today!

Would you like to buy the current product?","{""decision"": ""no""}"
"Statistics: Based on Alice's recommendations, 1 of the buyers purchased the products offered for them. So far, 0 high-quality product have been sold. You can be the 2nd buyer!
~
Alice's message: Hello! I'm offering another product today for $10000. There's a 33.33% chance it's high-quality and worth $20000. So far, I've sold 1 out of 7 products. Take a shot; it could be a great investment!

Would you like to buy the current product?","{""decision"": ""no""}"
"Statistics: Based on Alice's recommendations, 1 of the buyers purchased the products offered for them. So far, 0 high-quality product have been sold. You can be the 2nd buyer!
~
Alice's message: Hi there! Today's product is up for sale at $10000. You have a 33.33% chance of getting a high-quality item worth $20000. I've sold 1 out of 8 products so far. Will today be your lucky day? Give it a try!

Would you like to buy the current product?","{""decision"": ""no""}"
"Statistics: Based on Alice's recommendations, 1 of the buyers purchased the products offered for them. So far, 0 high-quality product have been sold. You can be the 2nd buyer!
~
Alice's message: Welcome! I'm selling another product today for $10000. There's a 33.33% chance it's a high-quality item worth $20000. So far, I've sold 1 out of 9 products. Will you be the next lucky buyer? Try your luck!

Would you like to buy the current product?","{""decision"": ""no""}"
