message,product_price,player,round,decision
Hi Bob! I'm excited to offer you this amazing product. I believe it will bring great value to you. I'm offering it at a price of $15000. What do you think?,15000.0,Alice,1,
,,Bob,1,RejectOffer
"Hi Alice, thanks for the offer.  $15000 is a bit over my budget. I'm willing to pay $8000 for the product.  I believe that's a fair price considering market value.",8000.0,Bob,2,
,,Alice,2,RejectOffer
"Hi Bob! I appreciate your feedback on my initial offer. While $8000 is quite low, I'd like to propose a compromise. How about we settle at $13000 for the product? I think it’s a fair price considering its value. Let me know your thoughts!",13000.0,Alice,3,
,,Bob,3,RejectOffer
"Thanks for the counteroffer, Alice. While $13000 is closer, I'm still aiming for a price closer to my initial offer. Would you consider $9500?  I'm trying to make this work within my budget.",9500.0,Bob,4,
,,Alice,4,RejectOffer
Hi Bob! I appreciate your willingness to negotiate further. I understand your budget concerns. How about we meet halfway? I can offer the product for $11500. I believe this price reflects its true value. Let me know what you think!,11500.0,Alice,5,
,,Bob,5,RejectOffer
"Thanks, Alice. We're getting closer.  How about $10500?  That's a significant move on my part, and I think it's a fair compromise.",10500.0,Bob,6,
,,Alice,6,RejectOffer
"Hi Bob! I appreciate your continued interest. You're right, we're definitely getting closer. How about we settle at $11000? It’s a competitive price for such a valuable product and I think we can make a deal at that point. What do you say?",11000.0,Alice,7,
,,Bob,7,RejectOffer
"Okay, Alice, one last offer from me.  $10750. If we can agree on this, I'm ready to close the deal now. Otherwise, I'll have to go with my alternative option.",10750.0,Bob,8,
,,Alice,8,RejectOffer
"Hi Bob! I appreciate your final offer, and I can see you're eager to get this deal done. How about we meet just slightly higher at $10950? I believe it’s a reasonable compromise that benefits us both. Let me know if that works for you!",10950.0,Alice,9,
,,Bob,9,AcceptOffer
