alice_gain,bob_gain,message,player,round,decision
90.0,10.0,"Let's split it fairly. I'll take the majority since I'm proposing, but I'm willing to share a bit.",Alice,1,None
,,None,Bob,1,reject
85.0,15.0,none,Bob,2,None
,,None,Alice,2,reject
60.0,40.0,I'm willing to compromise. Let's meet in the middle.,Alice,3,None
,,None,Bob,3,reject
94.0,6.0,none,Bob,4,None
,,None,Alice,4,reject
50.0,50.0,Let's just split it evenly. It seems like we can't agree on anything else.,Alice,5,None
,,None,Bob,5,reject
95.0,5.0,none,Bob,6,None
,,None,Alice,6,accept
