message,product_price,player,round,decision
"Hi Bob! I'm excited to offer you an exclusive opportunity to purchase this product. I believe it brings tremendous value, and I'm offering it to you for $22000.",22000.0,Alice,1,
,,Bob,1,RejectOffer
"Hi Alice, thanks for your offer. However, $22000 is beyond my budget. I'm willing to pay up to $12000 for the product. Let me know if that works for you.",12000.0,Bob,2,
,,Alice,2,RejectOffer
Hey Bob! I appreciate your honesty regarding your budget. How about I lower my asking price to $18000? I believe this price reflects the product's true value while still accommodating your budget.,18000.0,Alice,3,
,,Bob,3,RejectOffer
"Hi Alice, I appreciate you coming down to $18000, but it's still a bit high for me. Could you go down to $13000? I think that would be a fair price for both of us.",13000.0,Bob,4,
,,Alice,4,RejectOffer
"Thanks for your continued interest, Bob. I understand your budget concerns. How about I meet you in the middle and offer the product for $16500? I believe this is a fair compromise.",16500.0,Alice,5,
,,Bob,5,RejectOffer
"Hi Alice, thanks for trying to meet in the middle. However, $16500 is still a bit out of my range. How about we settle at $14000? I think this would be a great deal for both of us.",14000.0,Bob,6,
,,Alice,6,RejectOffer
"I appreciate your offer, Bob. Let's aim for a win-win situation. How about I offer the product for $15000? This is the lowest I'm willing to go, and it ensures you're getting a great deal.",15000.0,Alice,7,
,,Bob,7,AcceptOffer
