alice_gain,bob_gain,message,player,round,decision
950000.0,50000.0,"This offer heavily favors me, Bob, but it's still better than nothing if we run out of rounds. What do you say?",Alice,1,
,,,Bob,1,reject
300000.0,700000.0,"Alice, let's be reasonable. I'm proposing a 70/30 split in my favor. It's a fair starting point for negotiations.",Bob,2,
,,,Alice,2,reject
650000.0,350000.0,"Bob, your offer was a bit too greedy. This is a more balanced proposal that still rewards me fairly.",Alice,3,
,,,Bob,3,reject
400000.0,600000.0,"Alice, I'm willing to compromise. This offer is a 60/40 split, acknowledging that you deserve a significant share too.",Bob,4,
,,,Alice,4,reject
550000.0,450000.0,"Bob, let's stop wasting time. This is a fair offer - a slight advantage to me, but we're getting dangerously close to getting nothing at all.",Alice,5,
,,,Bob,5,reject
450000.0,550000.0,"Alice, I'm flexible, but I need a deal that reflects some advantage for me.  This is a 55/45 split - my final offer.",Bob,6,
,,,Alice,6,accept
