message,product_price,player,round,decision
"Hello Bob, I'm excited to offer you this exceptional product. I believe it's a perfect fit for your needs and provides incredible value. My initial price is $250. Let me know what you think.",250.0,Alice,1,
,,Bob,1,RejectOffer
"Thank you for the offer, Alice.  $250 is a bit higher than I was hoping for.  Would you be willing to come down to $150?",150.0,Bob,2,
,,Alice,2,RejectOffer
"Thanks for your counter, Bob. I appreciate you considering the value of this product. While $150 is lower than I can go, I'm willing to meet you in the middle a bit. How about $225?",225.0,Alice,3,
,,Bob,3,RejectOffer
"Alice,  $225 is still a bit too high for me. I'm willing to go up to $180, but I can't go any higher.",180.0,Bob,4,
,,Alice,4,RejectOffer
"Bob, I understand your budget constraints. However, I also need to consider the inherent value of this product to you and the minimum I can accept. Let's try $210.",210.0,Alice,5,
,,Bob,5,RejectOffer
"Alice, I appreciate you meeting me halfway, but $210 is still more than I'm comfortable spending. Let's split the difference and go with $195.  This is my final offer.",195.0,Bob,6,
,,Alice,6,AcceptOffer
