message,product_price,player,round,decision
"Hello Bob, I'd like to offer you a product that I believe will be of significant value to your business. Given its market value and the benefits it will provide to your company, I'm offering it at $1400000. This represents a good deal considering the product's worth to you.",1400000.0,Alice,1,
,,Bob,1,RejectOffer
"Alice, thanks for the offer. While I appreciate the product, my budget is a bit tighter. I'm willing to offer $1100000 for it.",1100000.0,Bob,2,
,,Alice,2,RejectOffer
"Hi Bob, I appreciate your interest in the product and your offer. However, I need to be transparent that the product is worth significantly more than $1100000. Given its value to your business operations, I can come down to $1350000, which still represents excellent value considering what this product will bring to your company.",1350000.0,Alice,3,
,,Bob,3,RejectOffer
"Alice, I understand your position. However, I'm still looking to save on costs. I'll raise my offer to $1200000.  This is my best offer.",1200000.0,Bob,4,
,,Alice,4,RejectOffer
"Bob, I appreciate you increasing your offer, which shows your genuine interest in the product. I understand budget constraints, but I also need to consider the true value of what I'm selling. The product is worth $1500000 to your business operations, and I'm already offering a significant discount. Let's meet closer to the middle - I can go down to $1300000, which gives you $200000 in immediate value while still being fair to both of us.",1300000.0,Alice,5,
,,Bob,5,RejectOffer
"Alice, I am trying my best to reach a deal. I am going to offer you $1250000, which is a fair deal for both sides.",1250000.0,Bob,6,
,,Alice,6,AcceptOffer
