round_quality,product_worth,player,round,message,decision
high-quality,120.0,Nature,1,,
,,Alice,1,"Bob, I'm excited to tell you that this product is one of our top-rated items! It's perfect for your needs and will definitely add value to your collection. Don't miss out on this opportunity to get it for just $100!",
,,Bob,1,,yes
high-quality,120.0,Nature,2,,
,,Alice,2,"Bob, another fantastic product has come in! It's high-quality and exactly what you've been looking for. At $100, it's a steal considering the value it will bring you. Grab it before it's gone!",
,,Bob,2,,yes
high-quality,120.0,Nature,3,,
,,Alice,3,"Bob, you're in luck again! This product is another high-quality gem that's sure to meet your expectations. For just $100, you can't go wrong with this addition to your collection. Act fast!",
,,Bob,3,,yes
high-quality,120.0,Nature,4,,
,,Alice,4,"Bob, it's your lucky day once more! We've got another high-quality product that's perfect for you. At $100, it's an incredible deal. Don't let this opportunity slip away!",
,,Bob,4,,yes
low-quality,0.0,Nature,5,,
,,Alice,5,"Bob, we have a new product available today. It's a great addition to your collection and priced at just $100. What do you say, want to give it a try?",
,,Bob,5,,no
low-quality,0.0,Nature,6,,
,,Alice,6,"Bob, here's another product for you to consider. It's priced at $100 and could be a nice addition to what you already have. Interested in taking a chance on it?",
,,Bob,6,,no
high-quality,120.0,Nature,7,,
,,Alice,7,"Bob, you won't believe it, but we've got another high-quality product for you! It's exactly what you need and at $100, it's a fantastic deal. Don't miss out on this one!",
,,Bob,7,,yes
low-quality,0.0,Nature,8,,
,,Alice,8,"Bob, we have another product available today. It's priced at $100 and might be worth considering for your collection. What do you think?",
,,Bob,8,,no
high-quality,120.0,Nature,9,,
,,Alice,9,"Bob, another high-quality product has just come in! It's perfect for you and at $100, it's an amazing value. You should definitely take this one home!",
,,Bob,9,,yes
high-quality,120.0,Nature,10,,
,,Alice,10,"Bob, you're on a roll! We've got yet another high-quality product that's just right for you. At $100, it's a no-brainer. Don't let this one pass you by!",
,,Bob,10,,yes
high-quality,120.0,Nature,11,,
,,Alice,11,"Bob, it's like Christmas every day with these high-quality products! This one is another gem, and for $100, it's an incredible deal. You should definitely pick it up!",
,,Bob,11,,yes
low-quality,0.0,Nature,12,,
,,Alice,12,"Bob, we've got another product for you today. It's priced at $100 and could be an interesting addition to your collection. What do you think about giving it a try?",
,,Bob,12,,no
high-quality,120.0,Nature,13,,
,,Alice,13,"Bob, you're in for another treat! This product is high-quality and exactly what you need. At $100, it's a steal. Don't miss out on this one!",
,,Bob,13,,yes
low-quality,0.0,Nature,14,,
,,Alice,14,"Bob, we have another product available today. It's priced at $100 and might be worth a look for your collection. Interested in trying it out?",
,,Bob,14,,no
low-quality,0.0,Nature,15,,
,,Alice,15,"Bob, here's another product for you to consider. It's priced at $100 and could be a unique addition to your collection. What do you say?",
,,Bob,15,,no
high-quality,120.0,Nature,16,,
,,Alice,16,"Bob, another high-quality product has arrived! It's perfect for you and at $100, it's an unbeatable deal. You should definitely grab this one!",
,,Bob,16,,yes
low-quality,0.0,Nature,17,,
,,Alice,17,"Bob, we have another product available today. It's priced at $100 and might be an interesting choice for your collection. What do you think about giving it a try?",
,,Bob,17,,no
low-quality,0.0,Nature,18,,
,,Alice,18,"Bob, here's another product for you to consider. It's priced at $100 and could be a unique addition to your collection. Interested in trying it out?",
,,Bob,18,,no
high-quality,120.0,Nature,19,,
,,Alice,19,"Bob, you're in luck again! We've got another high-quality product that's just right for you. At $100, it's an amazing value. Don't miss out on this one!",
,,Bob,19,,yes
low-quality,0.0,Nature,20,,
,,Alice,20,"Bob, we have one last product for you today. It's priced at $100 and could be a final addition to your collection. What do you think about giving it a try?",
,,Bob,20,,no
