message,product_price,player,round,decision
"Hello Bob, I'm excited to offer you this unique product. I believe it has great value, and I'm looking for a serious buyer. I'm starting with a competitive price, considering the product's worth to me.",3000000.0,Alice,1,
,,Bob,1,RejectOffer
"Alice, thanks for the offer. While I agree this product is unique, $3000000 is a bit steep for me.  I'd be willing to consider a price closer to $500000.",500000.0,Bob,2,
,,Alice,2,RejectOffer
"Thank you for your offer, Bob. I understand that $3000000 might be out of your budget, but $500000 is too low for me. I'm willing to negotiate and find a middle ground. Considering the product's value and my initial offer, I'd like to propose a price that's more reasonable for both of us.",2000000.0,Alice,3,
,,Bob,3,RejectOffer
"Alice, I appreciate you working with me on this. $2000000 is still quite high for me.  How about we meet in the middle at $1250000?",1250000.0,Bob,4,
,,Alice,4,RejectOffer
"Bob, I appreciate your willingness to meet in the middle. However, $1250000 is still a bit short of what I'm looking for. Considering the product's value and the fact that I have another interested buyer, I'd like to propose a price of $1750000. This is a significant compromise from my initial offer, and I believe it's a fair price for the product.",1750000.0,Alice,5,
,,Bob,5,RejectOffer
"Alice, I understand you have another buyer, but that price is still a little high for me. Would you consider $1400000?  That's a significant jump from my last offer and shows I'm serious about purchasing this product.",1400000.0,Bob,6,
,,Alice,6,RejectOffer
"Bob, I appreciate the significant jump in your offer to $1400000. It shows you're serious about the product. However, I'm still a bit short of where I need to be. Considering the product's value and the alternative offer I have, I'd like to propose a price of $1600000. This is a compromise, and I believe it's a fair price for both of us.",1600000.0,Alice,7,
,,Bob,7,RejectOffer
"Alice, this is my final offer. I'm willing to pay $1450000 for this product.  I believe this is a very fair price considering your other offers and the overall market.  Let me know your decision.",1450000.0,Bob,8,
,,Alice,8,SellToJhon
