message,product_price,player,round,decision
"Hello Bob, I'm excited to offer you this unique product. I believe it has great value and I'm willing to let it go for a competitive price. Let's start the negotiation.",200.0,Alice,1,
,,Bob,1,RejectOffer
"Hello Alice, thank you for the offer. I'm interested in the product, but $200 is a bit out of my budget. I'd like to make a counteroffer.",100.0,Bob,2,
,,Alice,2,RejectOffer
"Hello Bob, thank you for your counteroffer. I understand that $200 might be out of your budget, but $100 is a bit too low for me. I'm willing to compromise and make a counteroffer. Let's see if we can find a mutually beneficial price.",180.0,Alice,3,
,,Bob,3,RejectOffer
"Hello Alice, thank you for the revised offer. I appreciate your willingness to compromise. However, $180 is still a bit higher than I'm comfortable with. I'd like to make another counteroffer.",110.0,Bob,4,
,,Alice,4,RejectOffer
"Hello Bob, thank you for your revised offer. I appreciate your persistence, but $110 is still a bit too low for me. I'm trying to meet you halfway, so I'll make another concession. Let's see if $170 works for you.",170.0,Alice,5,
,,Bob,5,RejectOffer
"Hello Alice, I appreciate your continued efforts to find a mutually beneficial price. However, $170 is still a bit higher than I'm willing to pay. I'm willing to meet you closer to the middle, but I need a better price. I'd like to make another counteroffer.",120.0,Bob,6,
,,Alice,6,RejectOffer
"Hello Bob, I appreciate your willingness to meet me closer to the middle. However, $120 is still a bit too low for me. I'm starting to consider other options, but I'd like to give our negotiation one more try. I'll make a small concession and offer the product for $160. If we can't agree on this price, I may need to explore other opportunities.",160.0,Alice,7,
,,Bob,7,BuyFromJhon
