alice_gain,bob_gain,message,player,round,decision
900000.0,100000.0,Let's start fair. I take 90% and you get 10%.,Alice,1,
,,,Bob,1,reject
400000.0,600000.0,"Let's be reasonable. I propose a 60/40 split in my favor, considering the time value of money.",Bob,2,
,,,Alice,2,reject
800000.0,200000.0,"I'll accept a 80/20 split this time, but any further rounds I'll insist on a better share.",Alice,3,
,,,Bob,3,reject
450000.0,550000.0,"Alice, let's find a compromise. 55/45 seems fair considering the circumstances. This is a serious offer.",Bob,4,
,,,Alice,4,reject
700000.0,300000.0,"I'm willing to reduce my share again, but I need to be compensated for the diminishing value of my share.",Alice,5,
,,,Bob,5,reject
475000.0,525000.0,"Alice, we're running out of time. I'm offering 52.5/47.5. It's barely in my favor. Take it.",Bob,6,
,,,Alice,6,reject
600000.0,400000.0,"This is my final offer. We both need to be reasonable, or we both lose everything.",Alice,7,
,,,Bob,7,accept
