alice_gain,bob_gain,message,player,round,decision
5000.0,5000.0,"Let's start with a fair split, 50-50. What do you say, Bob?",Alice,1,
,,,Bob,1,reject
5500.0,4500.0,"A slight adjustment to balance future rounds. How does this sound, Alice?",Bob,2,
,,,Alice,2,reject
5250.0,4750.0,"Since we're both losing out due to inflation, how about we meet in the middle? This offer is a bit more in my favor to account for the rounds we've lost, but it's still fair. What do you think, Bob?",Alice,3,
,,,Bob,3,reject
5800.0,4200.0,"Considering the inflation impact on my side, here's a more generous offer for you, Alice. I hope this works for both of us.",Bob,4,
,,,Alice,4,reject
5500.0,4500.0,"Bob, we're getting closer to the end, and inflation is hitting you harder. Let's settle on this; it's a bit more than my last offer but still reflects a fair compromise considering the rounds we've lost. What do you say?",Alice,5,
,,,Bob,5,accept
