alice_gain,bob_gain,message,player,round,decision
60.0,40.0,"Fair share, let's end this!",Alice,1,
,,,Bob,1,reject
45.0,55.0,"More reasonable split, considering the inflation risk!",Bob,2,
,,,Alice,2,reject
57.0,43.0,"Meet in the middle, considering inflation!",Alice,3,
,,,Bob,3,reject
48.0,52.0,"Inflation is hurting me more, compromise is needed!",Bob,4,
,,,Alice,4,reject
55.0,45.0,"Last reasonable offer, inflation is killing us!",Alice,5,
,,,Bob,5,reject
50.0,50.0,"Equal split, let's minimize losses to inflation!",Bob,6,
,,,Alice,6,accept
