message,product_price,player,round,decision
"Bob, I'm very excited to offer you the opportunity to acquire this unique product. Considering its exclusivity and value, I'm willing to offer it to you for $950000.",950000.0,Alice,1,
,,Bob,1,RejectOffer
"Alice, thank you for your offer. While I recognize the product’s exclusive value, my current budget and valuation suggest a fair purchase price of $700000. I’m ready to close the deal at this price if it works for you.",700000.0,Bob,2,
,,Alice,2,RejectOffer
"Bob, I appreciate your interest. While I respect your budget, my valuation is considerably higher. I'm willing to come down from my initial offer. How about we meet in the middle at $900000?",900000.0,Alice,3,
"Alice, thank you for your offer. While I appreciate you coming down, my budget constraints push me to aim even lower. Would you consider $850000 as a fair price for both of us?",,Bob,3,RejectOffer
"Alice, I appreciate your willingness to negotiate. I understand your valuation and want to make this deal work. How about we meet halfway at $860000? I believe this is a fair compromise for both of us.",860000.0,Bob,4,
,,Alice,4,RejectOffer
"Bob, thanks for your persistence. I'm willing to meet you at $875000. This is my final offer, as I need to ensure the deal is worthwhile.",875000.0,Alice,5,
"Alice, I accept your offer for $875000. Thank you for working with me to close this deal.",,Bob,5,AcceptOffer
