alice_gain,bob_gain,message,player,round,decision
700000.0,300000.0,"Let's start with a simple offer, Bob. I believe this is a fair split that allows us both to benefit.",Alice,1,
,,,Bob,1,reject
400000.0,600000.0,"Alice, let's aim for a fairer distribution. This takes into account the time value of money and the potential for further inflation.",Bob,2,
,,,Alice,2,reject
650000.0,350000.0,"Bob, I appreciate your perspective on the time value of money. However, I believe my contributions warrant a larger share. This offer is a compromise, and I hope you'll consider it carefully.",Alice,3,
,,,Bob,3,reject
450000.0,550000.0,"Alice, I understand you believe your contributions warrant a larger share, but remember the inflation. My offer is still accounting for a reasonable adjustment for the declining value.",Bob,4,
,,,Alice,4,reject
600000.0,400000.0,"Bob, it seems we're at an impasse.  I'm willing to adjust my offer slightly, but I need you to meet me halfway. This is my final offer.",Alice,5,
,,,Bob,5,reject
480000.0,520000.0,"Alice, this is my final offer as well. Consider the further loss in value due to inflation, I am already making a substantial concession by offering almost half.",Bob,6,
,,,Alice,6,accept
