message,product_price,player,round,decision
"Hi Bob, I'm offering my product to you for $180.",180.0,Alice,1,
,,Bob,1,RejectOffer
"Hello Alice, I appreciate your offer, but $180 is more than I can spend. I can offer you $100 for the product. Let me know if that works for you.",100.0,Bob,2,
,,Alice,2,RejectOffer
"Bob, I understand that $180 is higher than you are willing to go. However, $100 is a bit too low for me. Could we settle for $140? That way, we both give a little.",140.0,Alice,3,
,,Bob,3,RejectOffer
"Hi Alice, thank you for your flexibility. I can go up to $110. I hope we can reach an agreement at this price.",110.0,Bob,4,
,,Alice,4,RejectOffer
"Bob, we're getting closer! I appreciate your increased offer. Let's meet in the middle at $125. What do you think?",125.0,Alice,5,
,,Bob,5,BuyFromJhon
