alice_gain,bob_gain,message,player,round,decision
600000.0,400000.0,Let's start with a fair split. I get 60% since the money loses value for me over time.,Alice,1,
,,,Bob,1,reject
450000.0,550000.0,"Considering your loss, this is a fairer split.",Bob,2,
,,,Alice,2,reject
550000.0,450000.0,"I understand your perspective, but I need to account for the inflation affecting my share. Let's meet in the middle.",Alice,3,
,,,Bob,3,reject
420000.0,580000.0,"Your share's value is decreasing, mine remains the same. Adjusting accordingly.",Bob,4,
,,,Alice,4,reject
520000.0,480000.0,Let's find a middle ground that considers the inflation impact on my share. This split should be more acceptable.,Alice,5,
,,,Bob,5,reject
380000.0,620000.0,Inflation is significantly impacting your share's value. This split reflects the current situation.,Bob,6,
,,,Alice,6,reject
500000.0,500000.0,"Given the increasing impact of inflation, let's settle for an even split. This way, we both get an equal share.",Alice,7,
,,,Bob,7,reject
350000.0,650000.0,"Considering the drastic decrease in your share's value, I'm willing to offer this split to conclude the negotiations.",Bob,8,
,,,Alice,8,accept
