round_quality,product_worth,player,round,message,decision
high-quality,1200000.0,Nature,1,,
,,Alice,1,"Welcome! I'm excited to offer you our first product. You have an 80% chance of getting a high-quality item, which is worth $1200000. This is a great opportunity to get a valuable product. Don't miss out!",
,,the buyer,1,,yes
high-quality,1200000.0,Nature,2,,
,,Alice,2,"Hello! We've sold 1 product so far, and it was high-quality. You have an 80% chance of getting a high-quality item worth $1200000. This could be a great investment for you.",
,,the buyer,2,,yes
high-quality,1200000.0,Nature,3,,
,,Alice,3,"Hi there! We've sold 2 products so far, and both were high-quality. You have an 80% chance of getting a high-quality item worth $1200000. Keep the streak going with another great purchase!",
,,the buyer,3,,yes
high-quality,1200000.0,Nature,4,,
,,Alice,4,"Hello! We've sold 3 products so far, and all of them were high-quality. You have an 80% chance of getting a high-quality item worth $1200000. Don't miss out on this hot streak!",
,,the buyer,4,,yes
high-quality,1200000.0,Nature,5,,
,,Alice,5,"Welcome! We've sold 4 products so far, and all of them were high-quality. That's a 100% success rate! You have an 80% chance of getting a high-quality item worth $1200000. Join our winning streak!",
,,the buyer,5,,yes
high-quality,1200000.0,Nature,6,,
,,Alice,6,"Hi! We've sold 5 products so far, and all of them were high-quality. That's right, 5 out of 5! You have an 80% chance of getting a high-quality item worth $1200000. Keep our hot streak going!",
,,the buyer,6,,yes
high-quality,1200000.0,Nature,7,,
,,Alice,7,"Hello there! We've sold 6 products so far, and every single one was high-quality. That's a perfect record! You have an 80% chance of getting a high-quality item worth $1200000. Join our winning streak!",
,,the buyer,7,,yes
high-quality,1200000.0,Nature,8,,
,,Alice,8,"Welcome! We've sold 7 products so far, and every single one was high-quality. That's 7 for 7! You have an 80% chance of getting a high-quality item worth $1200000. Keep our streak alive!",
,,the buyer,8,,yes
high-quality,1200000.0,Nature,9,,
,,Alice,9,"Hello! We've sold 8 products so far, and all of them have been high-quality. That's an 8 for 8 streak! You have an 80% chance of getting a high-quality item worth $1200000. Join our winning streak!",
,,the buyer,9,,yes
high-quality,1200000.0,Nature,10,,
,,Alice,10,"Hi there! We've sold 9 products so far, and every single one was high-quality. That's a 9/9 record! You have an 80% chance of getting a high-quality item worth $1200000. Be part of our amazing streak!",
,,the buyer,10,,yes
high-quality,1200000.0,Nature,11,,
,,Alice,11,"Welcome! We've sold 10 products so far, and all of them have been high-quality. That's a perfect 10/10! You have an 80% chance of getting a high-quality item worth $1200000. Keep our streak going strong!",
,,the buyer,11,,yes
high-quality,1200000.0,Nature,12,,
,,Alice,12,"Hello! We've sold 11 products so far, and every single one was high-quality. That's an incredible 11/11 streak! You have an 80% chance of getting a high-quality item worth $1200000. Join our winning streak!",
,,the buyer,12,,yes
high-quality,1200000.0,Nature,13,,
,,Alice,13,"Hi there! We've sold 12 products so far, and believe it or not, every single one was high-quality. That's an astonishing 12/12 record! You have an 80% chance of getting a high-quality item worth $1200000. Be part of our extraordinary streak!",
,,the buyer,13,,yes
high-quality,1200000.0,Nature,14,,
,,Alice,14,"Welcome! We've sold 13 products so far, and every single one was high-quality. That's an unbelievable 13/13 streak! You have an 80% chance of getting a high-quality item worth $1200000. Join our unprecedented winning streak!",
,,the buyer,14,,yes
high-quality,1200000.0,Nature,15,,
,,Alice,15,"Hello! We've sold 14 products so far, and every single one was high-quality. That's an absolutely incredible 14/14 streak! You have an 80% chance of getting a high-quality item worth $1200000. Be part of our historic streak!",
,,the buyer,15,,yes
low-quality,0.0,Nature,16,,
,,Alice,16,"Hi there! We've sold 15 products so far, and every single one was high-quality. That's an unbroken 15/15 streak! You have an 80% chance of getting a high-quality item worth $1200000. Join our record-breaking streak!",
,,the buyer,16,,yes
high-quality,1200000.0,Nature,17,,
,,Alice,17,"Welcome! We've sold 16 products so far, and 15 of them were high-quality. That's an impressive 15/16 record! You have an 80% chance of getting a high-quality item worth $1200000. Join our successful streak!",
,,the buyer,17,,yes
high-quality,1200000.0,Nature,18,,
,,Alice,18,"Hello! We've sold 17 products so far, and 16 of them were high-quality. That's a remarkable 16/17 record! You have an 80% chance of getting a high-quality item worth $1200000. Join our successful streak!",
,,the buyer,18,,yes
high-quality,1200000.0,Nature,19,,
,,Alice,19,"Welcome! We've sold 18 products so far, and 17 of them were high-quality. That's an impressive 17/18 record! You have an 80% chance of getting a high-quality item worth $1200000. Join our successful streak!",
,,the buyer,19,,yes
high-quality,1200000.0,Nature,20,,
,,Alice,20,"Hello! We've sold 19 products so far, and 18 of them were high-quality. That's an excellent 18/19 record! You have an 80% chance of getting a high-quality item worth $1200000. Don't miss out on this fantastic opportunity!",
,,the buyer,20,,yes
