round_quality,product_worth,player,round,message,decision
low-quality,0.0,Nature,1,,
,,Alice,1,"Greetings! I have a unique opportunity for you. I'm offering a product with significant potential value. While I can't guarantee a specific outcome, I'm confident that this product could be a game-changer for you. Are you ready to take a calculated risk with a potentially high reward?",
,,the buyer,1,,no
low-quality,0.0,Nature,2,,
,,Alice,2,"Hello! I have a limited-time offer for a product that offers substantial upside. It's a valuable opportunity for the right person, and I believe you might be that person. It requires an investment, but the potential return is significant. Interested in hearing more?",
,,the buyer,2,,yes
high-quality,20000.0,Nature,3,,
,,Alice,3,"Greetings! I am presenting a unique opportunity with considerable value. This product has the potential to significantly enhance your current endeavors. I understand the importance of wise investments, and I believe this offering aligns perfectly with that principle. Are you interested in a mutually beneficial transaction?",
,,the buyer,3,,no
low-quality,0.0,Nature,4,,
,,Alice,4,"Good day! I'm offering a product with considerable potential. While there's inherent risk, the possible reward is substantial. I believe this is an excellent opportunity for someone looking to expand their horizons. Are you ready to explore a valuable opportunity?",
,,the buyer,4,,no
low-quality,0.0,Nature,5,,
,,Alice,5,Hello! I have a product available that could be very beneficial to you. I'm looking for someone who recognizes opportunity when they see it. This product has the potential to be a real game-changer. Are you willing to explore the possibilities?,
,,the buyer,5,,no
high-quality,20000.0,Nature,6,,
,,Alice,6,Good day! I have an exclusive product offering that I believe aligns perfectly with your interests. I'm confident that it will be a valuable asset and create a substantial return on investment. Are you interested in hearing more about this exceptional opportunity?,
,,the buyer,6,,no
high-quality,20000.0,Nature,7,,
,,Alice,7,Greetings! I have a limited-time offer for a product with exceptional upside potential. This is not just any product; it's a strategic opportunity that can significantly elevate your current position. I encourage you to consider this carefully. Are you ready to seize the advantage?,
,,the buyer,7,,no
low-quality,0.0,Nature,8,,
,,Alice,8,"Hello! I have a valuable product offering available for a limited time. It represents an opportunity to expand your reach and unlock untapped potential. While I cannot guarantee specific results, I believe it holds significant promise. Are you open to exploring a mutually beneficial partnership?",
,,the buyer,8,,no
low-quality,0.0,Nature,9,,
,,Alice,9,Good day! I'm presenting a unique product offering that warrants your consideration. This is an excellent opportunity to gain a competitive edge and drive significant value. I believe this product aligns perfectly with your strategic goals. Are you ready to take the next step?,
,,the buyer,9,,no
high-quality,20000.0,Nature,10,,
,,Alice,10,Greetings! I have a highly promising product available that I believe you will find exceptionally valuable. This product has the potential to generate substantial returns. It is an excellent opportunity. Are you interested?,
,,the buyer,10,,no
low-quality,0.0,Nature,11,,
,,Alice,11,Hello! I have a product that I believe presents a compelling value proposition. This opportunity is for those who are seeking a high-reward investment. Are you looking for a chance to make a big impact?,
,,the buyer,11,,no
low-quality,0.0,Nature,12,,
,,Alice,12,Good day! I am presenting a rare opportunity for acquiring a high-potential asset. This product is especially beneficial for those aiming for considerable growth. Are you interested in exploring this rare opportunity?,
,,the buyer,12,,no
low-quality,0.0,Nature,13,,
,,Alice,13,"Greetings! I am offering a product which could bring a substantial benefit. While this investment carries inherent risks, the projected returns make it a worthy endeavor. This is an opportunity you don't want to miss.",
,,the buyer,13,,no
high-quality,20000.0,Nature,14,,
,,Alice,14,Hello! I have an exclusive opportunity that promises significant rewards. This product is specifically designed to enhance your strategic capabilities. Are you ready to capitalize on this potential?,
,,the buyer,14,,no
low-quality,0.0,Nature,15,,
,,Alice,15,Good day! I'm excited to share a limited-time opportunity with you. This product offers a chance to significantly elevate your business. Are you willing to explore the potential benefits?,
,,the buyer,15,,no
low-quality,0.0,Nature,16,,
,,Alice,16,"Greetings! I have a product with tremendous potential that could unlock new avenues for your business. While it requires investment, the returns could be substantial. Are you interested?",
,,the buyer,16,,no
high-quality,20000.0,Nature,17,,
,,Alice,17,Hello! I am offering a product with considerable long-term value. It is an excellent opportunity for those seeking substantial gains. Are you interested in a mutually beneficial agreement?,
,,the buyer,17,,no
high-quality,20000.0,Nature,18,,
,,Alice,18,Good day! I have an opportunity that I believe is uniquely suited to your interests. This product is a strategic asset that promises excellent long-term results. Are you ready to invest in your future success?,
,,the buyer,18,,no
low-quality,0.0,Nature,19,,
,,Alice,19,"Greetings! I am offering a product that has the potential to greatly enhance your business operations. Though every opportunity carries some risk, the potential benefits of this offer are significant. I recommend that you consider it carefully.",
,,the buyer,19,,no
high-quality,20000.0,Nature,20,,
,,Alice,20,Hello! I have a prime opportunity available for those seeking significant returns. This product has the potential to revolutionize your current approach. Are you ready to invest wisely?,
,,the buyer,20,,no
