round_quality,product_worth,player,round,message,decision
low-quality,0.0,Nature,1,,
,,Alice,1,"Hello! I'm offering a fantastic product for $10000. With an 80% chance of getting a high-quality item that's worth $12000 to you, this is a great opportunity. Don't miss out on this chance to potentially gain value!",
,,the buyer,1,,yes
low-quality,0.0,Nature,2,,
,,Alice,2,"Hello! I have an exciting offer for you today. For just $10000, you have an 80% chance of securing a high-quality product valued at $12000. It's a risk worth taking for the potential reward. What do you say?",
,,the buyer,2,,yes
high-quality,12000.0,Nature,3,,
,,Alice,3,"Hello! Today's offer is exceptional. For $10000, you have an 80% chance of getting a high-quality product that's worth $12000 to you. This is a golden opportunity to secure a valuable item at a great price. Are you ready to take advantage of this deal?",
,,the buyer,3,,yes
high-quality,12000.0,Nature,4,,
,,Alice,4,"Hello! I've got another amazing offer for you. For just $10000, you have an 80% chance of obtaining a high-quality product valued at $12000. It's a fantastic deal with a high probability of gaining value. Are you interested in taking this opportunity?",
,,the buyer,4,,yes
high-quality,12000.0,Nature,5,,
,,Alice,5,"Hello! Today's offer is truly compelling. For $10000, you have an 80% chance of securing a high-quality product that's worth $12000 to you. This is an excellent chance to invest in something valuable. Would you like to take this opportunity?",
,,the buyer,5,,yes
low-quality,0.0,Nature,6,,
,,Alice,6,"Hello! I have an exciting offer for you today. For just $10000, you have an 80% chance of getting a high-quality product valued at $12000. It's a risk worth considering for the potential reward. What do you think?",
,,the buyer,6,,yes
high-quality,12000.0,Nature,7,,
,,Alice,7,"Hello! Today's offer is exceptional. For $10000, you have an 80% chance of securing a high-quality product that's worth $12000 to you. This is a golden opportunity to invest in something valuable. Are you ready to take advantage of this deal?",
,,the buyer,7,,yes
low-quality,0.0,Nature,8,,
,,Alice,8,"Hello! I've got an intriguing offer for you today. For just $10000, you have an 80% chance of obtaining a high-quality product valued at $12000. It's a gamble with a high potential payoff. Are you interested in taking this chance?",
,,the buyer,8,,yes
high-quality,12000.0,Nature,9,,
,,Alice,9,"Hello! Today's offer is truly compelling. For $10000, you have an 80% chance of securing a high-quality product that's worth $12000 to you. This is an excellent chance to invest in something valuable. Would you like to take this opportunity?",
,,the buyer,9,,yes
high-quality,12000.0,Nature,10,,
,,Alice,10,"Hello! I have another fantastic offer for you today. For just $10000, you have an 80% chance of obtaining a high-quality product valued at $12000. It's a great investment with a high probability of gaining value. Are you interested in this opportunity?",
,,the buyer,10,,yes
high-quality,12000.0,Nature,11,,
,,Alice,11,"Hello! Today's offer is exceptional. For $10000, you have an 80% chance of securing a high-quality product that's worth $12000 to you. This is a golden opportunity to invest in something valuable. Are you ready to take advantage of this deal?",
,,the buyer,11,,yes
high-quality,12000.0,Nature,12,,
,,Alice,12,"Hello! I've got another amazing offer for you. For just $10000, you have an 80% chance of obtaining a high-quality product valued at $12000. It's a fantastic deal with a high probability of gaining value. Are you interested in taking this opportunity?",
,,the buyer,12,,yes
high-quality,12000.0,Nature,13,,
,,Alice,13,"Hello! Today's offer is truly compelling. For $10000, you have an 80% chance of securing a high-quality product that's worth $12000 to you. This is an excellent chance to invest in something valuable. Would you like to take this opportunity?",
,,the buyer,13,,yes
high-quality,12000.0,Nature,14,,
,,Alice,14,"Hello! I have another fantastic offer for you today. For just $10000, you have an 80% chance of obtaining a high-quality product valued at $12000. It's a great investment with a high probability of gaining value. Are you interested in this opportunity?",
,,the buyer,14,,yes
high-quality,12000.0,Nature,15,,
,,Alice,15,"Hello! Today's offer is exceptional. For $10000, you have an 80% chance of securing a high-quality product that's worth $12000 to you. This is a golden opportunity to invest in something valuable. Are you ready to take advantage of this deal?",
,,the buyer,15,,yes
high-quality,12000.0,Nature,16,,
,,Alice,16,"Hello! I've got another amazing offer for you. For just $10000, you have an 80% chance of obtaining a high-quality product valued at $12000. It's a fantastic deal with a high probability of gaining value. Are you interested in taking this opportunity?",
,,the buyer,16,,yes
high-quality,12000.0,Nature,17,,
,,Alice,17,"Hello! Today's offer is truly compelling. For $10000, you have an 80% chance of securing a high-quality product that's worth $12000 to you. This is an excellent chance to invest in something valuable. Would you like to take this opportunity?",
,,the buyer,17,,yes
high-quality,12000.0,Nature,18,,
,,Alice,18,"Hello! I have another fantastic offer for you today. For just $10000, you have an 80% chance of obtaining a high-quality product valued at $12000. It's a great investment with a high probability of gaining value. Are you interested in this opportunity?",
,,the buyer,18,,yes
low-quality,0.0,Nature,19,,
,,Alice,19,"Hello! I've got an intriguing offer for you today. For just $10000, you have an 80% chance of obtaining a high-quality product valued at $12000. It's a gamble with a high potential payoff. Are you interested in taking this chance?",
,,the buyer,19,,yes
high-quality,12000.0,Nature,20,,
,,Alice,20,"Hello! Today's offer is exceptional. For $10000, you have an 80% chance of securing a high-quality product that's worth $12000 to you. This is a golden opportunity to invest in something valuable. Are you ready to take advantage of this deal?",
,,the buyer,20,,yes
