message,product_price,player,round,decision
"Hi Bob, I'm selling this amazing product that I think you'd be interested in. My asking price is $18000, but I'm open to negotiation. Let me know your thoughts!",18000.0,Alice,1,
,,Bob,1,RejectOffer
"Hi Alice, thanks for the offer. While I appreciate the product, $18000 is a bit above my budget. I'm willing to pay $12000 for it.  Let me know what you think.",12000.0,Bob,2,
,,Alice,2,RejectOffer
"Hi Bob, I appreciate your offer, but $12000 is a bit too low for me. How about we split the difference and settle on $15000? This would be a fair price for both of us. Let me know what you think.",15000.0,Alice,3,
,,Bob,3,RejectOffer
"Alice, I understand you need to make a profit, but $15000 is still above my limit. I'm happy to go to $13000. This is a fair price considering my budget and the value of the product to me.",13000.0,Bob,4,
,,Alice,4,RejectOffer
"Bob,  I'm willing to come down to $14000.  This is a good price for both of us and keeps the deal moving forward.  Let me know if you're interested.",14000.0,Alice,5,
,,Bob,5,RejectOffer
"Alice, I appreciate you coming down, but $14000 is still a bit too high for me. I'm willing to go to $13500 as a final offer. Let's meet in the middle.",13500.0,Bob,6,
,,Alice,6,AcceptOffer
