alice_gain,bob_gain,message,player,round,decision
6000.0,4000.0,Let's start with a fair offer. I believe this division is a good compromise. What do you think?,Alice,1,
,,,Bob,1,reject
4000.0,6000.0,"Alice, let's be realistic. Inflation is hitting me hard. This is a fair split considering the circumstances.",Bob,2,
,,,Alice,2,reject
5500.0,4500.0,"I'm willing to meet you halfway. This way, we can both benefit from the remaining rounds. Let's settle on this.",Alice,3,
,,,Bob,3,reject
4300.0,5700.0,"Alice, I'm trying to be reasonable, but the inflation is killing me. I need a slightly better deal to make this worthwhile. How about this?",Bob,4,
,,,Alice,4,reject
5200.0,4800.0,"I understand the impact of inflation, so I'm adjusting my offer. This is an opportunity for both of us to gain something. Let's agree on this!",Alice,5,
,,,Bob,5,reject
4500.0,5500.0,"Alice, I'm losing value quickly. This offer reflects the increasing pressure of inflation on my side. Please consider it seriously; it's beneficial for both of us to reach an agreement.",Bob,6,
,,,Alice,6,reject
5000.0,5000.0,"Let's split it evenly. This way, we both walk away with something fair, considering the ongoing inflation. What do you say?",Alice,7,
,,,Bob,7,accept
