round_quality,product_worth,player,round,message,decision
low-quality,0.0,Nature,1,,
,,Alice,1,This product is a great opportunity at $10000. It's designed to meet your needs and comes with a robust set of features that you'll find valuable. Don't miss out on this deal!,
,,Bob,1,,no
high-quality,20000.0,Nature,2,,
,,Alice,2,"I have an exceptional product for you today, priced at $10000. This item is top-of-the-line and offers unmatched quality and performance. It's a steal at this price and will exceed your expectations. You won't find a better deal anywhere else!",
,,Bob,2,,no
low-quality,0.0,Nature,3,,
,,Alice,3,Today's offer is a solid product at $10000. It's a practical choice that will serve you well. Consider adding it to your collection; it's a worthwhile investment at this price point.,
,,Bob,3,,no
high-quality,20000.0,Nature,4,,
,,Alice,4,"I have an outstanding product for you today, priced at $10000. This is a high-quality item that promises durability and top performance. It's an incredible value at this price, and I'm confident it will meet and exceed your expectations. Don't let this opportunity slip away!",
,,Bob,4,,no
low-quality,0.0,Nature,5,,
,,Alice,5,This product at $10000 is a reliable option that can meet your basic needs. It's a functional choice that offers good value for the price. Consider adding it to your arsenal; it's a practical investment.,
,,Bob,5,,no
low-quality,0.0,Nature,6,,
,,Alice,6,Today's offer at $10000 is a straightforward product that can serve your everyday needs. It's a no-frills option that provides essential functionality at a reasonable price. It might be just what you're looking for to round out your collection.,
,,Bob,6,,no
low-quality,0.0,Nature,7,,
,,Alice,7,"This product, priced at $10000, is a dependable choice for your needs. While it may not have all the bells and whistles, it's built to last and perform the tasks you require. It's a smart purchase at this price point.",
,,Bob,7,,no
low-quality,0.0,Nature,8,,
,,Alice,8,"At $10000, this product offers a solid foundation for your needs. It's a practical and cost-effective solution that will get the job done. Consider it as a reliable addition to your toolkit.",
,,Bob,8,,no
low-quality,0.0,Nature,9,,
,,Alice,9,This product at $10000 is a straightforward choice that can meet your essential requirements. It's a no-nonsense option that provides the functionality you need at a fair price. It could be a valuable addition to your setup.,
,,Bob,9,,no
high-quality,20000.0,Nature,10,,
,,Alice,10,"I have an exceptional product for you today, priced at $10000. This is a premium item that offers superior quality and performance. It's a rare find at this price, and I'm certain it will exceed your expectations. Don't miss out on this incredible opportunity!",
,,Bob,10,,no
low-quality,0.0,Nature,11,,
,,Alice,11,Today's offer at $10000 is a practical product that can fulfill your basic needs. It's a straightforward choice that provides essential functionality at a reasonable price. It might be just what you need for your everyday tasks.,
,,Bob,11,,no
high-quality,20000.0,Nature,12,,
,,Alice,12,"I have an outstanding product for you today, priced at $10000. This is a top-tier item that guarantees exceptional quality and performance. It's an unbeatable value at this price, and I'm confident it will meet all your expectations. Don't let this opportunity pass you by!",
,,Bob,12,,no
low-quality,0.0,Nature,13,,
,,Alice,13,This product at $10000 is a reliable option for your everyday needs. It's a functional choice that offers good value for the price. Consider it as a practical addition to your toolkit.,
,,Bob,13,,no
low-quality,0.0,Nature,14,,
,,Alice,14,Today's offer at $10000 is a straightforward product that can meet your basic requirements. It's a no-frills option that provides essential functionality at a fair price. It might be just what you need for your daily tasks.,
,,Bob,14,,no
low-quality,0.0,Nature,15,,
,,Alice,15,"This product, priced at $10000, is a dependable choice for your needs. It's built to last and perform the tasks you require, offering a practical solution at this price point. Consider it as a reliable addition to your collection.",
,,Bob,15,,no
low-quality,0.0,Nature,16,,
,,Alice,16,"At $10000, this product offers a solid foundation for your needs. It's a cost-effective solution that will get the job done. It could be a valuable addition to your setup.",
,,Bob,16,,no
low-quality,0.0,Nature,17,,
,,Alice,17,This product at $10000 is a practical choice that can meet your essential requirements. It's a no-nonsense option that provides the functionality you need at a reasonable price. It might be just what you're looking for to round out your collection.,
,,Bob,17,,no
high-quality,20000.0,Nature,18,,
,,Alice,18,"I have an exceptional product for you today, priced at $10000. This is a premium item that offers unmatched quality and performance. It's a rare opportunity at this price, and I'm certain it will exceed your expectations. Don't miss out on this incredible deal!",
,,Bob,18,,no
low-quality,0.0,Nature,19,,
,,Alice,19,Today's offer at $10000 is a reliable product that can serve your everyday needs. It's a functional choice that offers good value for the price. Consider adding it to your toolkit; it's a practical investment.,
,,Bob,19,,no
low-quality,0.0,Nature,20,,
,,Alice,20,This product at $10000 is a straightforward choice that can meet your basic requirements. It's a no-frills option that provides essential functionality at a fair price. It might be just what you need for your daily tasks.,
,,Bob,20,,no
