alice_gain,bob_gain,message,player,round,decision
60.0,40.0,"Let's be fair, Bob. I take a bit more to account for the inflation.",Alice,1,
,,,Bob,1,reject
55.0,45.0,My turn to propose something more reasonable. This accounts for the inflation a bit.,Bob,2,
,,,Alice,2,reject
58.0,42.0,"How about we meet in the middle, Bob? This deal is better for both of us.",Alice,3,
,,,Bob,3,reject
53.0,47.0,"Time is running out, Alice.  This is my final offer.",Bob,4,
,,,Alice,4,reject
56.0,44.0,"Okay, Bob, I'm compromising. This is a fair deal considering the time pressure.",Alice,5,
,,,Bob,5,reject
50.0,50.0,Let's split this evenly and call it a day.,Bob,6,
,,,Alice,6,accept
