message,product_price,player,round,decision
"Hello Bob, I'm offering you our premium product at a special price of $18000. This is a great opportunity to own something truly valuable. What do you think?",18000.0,Alice,1,
,,Bob,1,RejectOffer
"Hello Alice, thanks for the offer, but $18000 is a bit too high for me. I'm willing to pay $10000 for the product. I believe this is a fair price considering its value to me. Let me know what you think.",10000.0,Bob,2,
"Hello Bob, thank you for your counteroffer. However, $10000 is below my minimum acceptable price. I'm willing to lower my price to $16000, which is still a great deal considering the value of the product. Please let me know if this works for you.",16000.0,Alice,2,RejectOffer
"Hello Bob, I understand your budget constraints, but I believe the product's value justifies a higher price. I'm willing to come down to $16000, which is a significant discount from my initial offer. This is the best I can do at the moment. Let me know if this works for you.",16000.0,Alice,3,
,,Bob,3,RejectOffer
"Hello Alice, I appreciate you coming down on the price. However, $16000 is still a bit too high for me. I'm willing to increase my offer to $11000. I believe this is a reasonable compromise. Let me know your thoughts.",11000.0,Bob,4,
"Hello Bob, thank you for your revised offer. However, $11000 is still below my minimum acceptable price. I'm willing to lower my price further to $15500, which is very close to my bottom line. This is the best I can do. Please let me know if you can meet this price.",15500.0,Alice,4,RejectOffer
"Hello Bob, I appreciate your willingness to negotiate. However, $11000 is still below my minimum acceptable price. I'm willing to lower my price to $15500, which is very close to my bottom line. This is the best I can do. Please let me know if you can meet this price.",15500.0,Alice,5,
,,Bob,5,RejectOffer
"Hello Alice, I understand this is close to your bottom line, and I'm willing to meet you halfway. How about $13250?  This would be a fair compromise for both of us.",13250.0,Bob,6,
"Hello Bob, thank you for your offer. However, $13250 is still below what I can accept. I'm willing to come down to $15250, which is my final offer. If this doesn't work for you, I'll have to consider other buyers. Please let me know your decision.",15250.0,Alice,6,RejectOffer
"Hello Bob, thank you for your offer. However, $13250 is still below what I can accept. I'm willing to come down to $15250, which is my final offer. If this doesn't work for you, I'll have to consider other buyers. Please let me know your decision.",15250.0,Alice,7,
,,Bob,7,BuyFromJhon
