alice_gain,bob_gain,message,player,round,decision
700000.0,300000.0,"Let's be fair, Bob. This offer ensures you get a good share while I get a bit more considering the inflation.",Alice,1,
,,,Bob,1,reject
525000.0,475000.0,"Considering the inflation, I think this is a fair split. Let's settle this before it's worth even less to me.",Bob,2,
,,,Alice,2,reject
650000.0,350000.0,"Bob, let's be realistic. The longer this goes on, the less valuable the money becomes for you. I'm offering a deal that still benefits us both.",Alice,3,
,,,Bob,3,reject
571250.0,428750.0,I'm starting to feel the pinch of inflation. Let's settle before it's too late for me.,Bob,4,
,,,Alice,4,reject
625000.0,375000.0,"Bob, this is my final offer.  You're losing money quickly with each round. Take this offer while you can still secure a reasonable amount.",Alice,5,
,,,Bob,5,accept
