message,product_price,player,round,decision
"Hi Bob, I'm excited to offer you this incredible product. Based on its value and the demand I'm seeing, I'm offering it to you for $25000. What do you think?",25000.0,Alice,1,
,,Bob,1,RejectOffer
"Alice,  $25000 is way above what I'm willing to pay. I'm really interested in this product, but my budget is capped at $12000. Would you be willing to consider that price?",12000.0,Bob,2,
,,Alice,2,RejectOffer
"Bob, I understand you're working within a budget, but I can't go as low as $12000. Considering the product's value, the lowest I can go is $22000. How does that sound?",22000.0,Alice,3,
,,Bob,3,RejectOffer
"Alice, I appreciate you coming down in price, but $22000 is still too high for me.  I'm happy to meet you halfway and offer $17000.  What do you think?",17000.0,Bob,4,
,,Alice,4,RejectOffer
"Bob, I'm willing to work with you. How about we meet in the middle and settle at $19500? That's the best I can do.",19500.0,Alice,5,
,,Bob,5,RejectOffer
"Alice, I appreciate your willingness to compromise. How about $18000? I'm really hoping we can find common ground and get this deal done.  ",18000.0,Bob,6,
,,Alice,6,AcceptOffer
