alice_gain,bob_gain,message,player,round,decision
900000.0,100000.0,I think we can both be happy with this. Let's split the cash!,Alice,1,
,,,Bob,1,reject
450000.0,550000.0,"Alice, let's be fair. This is a much better split for both of us. Think about the inflation!",Bob,2,
,,,Alice,2,reject
550000.0,450000.0,"Okay Bob, let's try this again. I'm adjusting for the inflation you pointed out, but still aiming for a reasonable outcome. Let's end this now!",Alice,3,
,,,Bob,3,reject
480000.0,520000.0,"Alice, we are losing money to inflation! My offer is fair considering the circumstances. Accept now!",Bob,4,
,,,Alice,4,reject
500000.0,500000.0,"Alright Bob, this is a 50/50 split. Let's end this now and not let inflation eat away any more of our potential earnings!",Alice,5,
,,,Bob,5,accept
