message,product_price,player,round,decision,counteroffer_price
"Hi Bob! I'm happy to offer you this amazing product. Considering its value, I think a fair price would be...",140.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice! I'm interested, but that price is a little steep for me. Would you consider $100?",100.0,Bob,2,,
,,Alice,2,RejectOffer,130.0
"Thanks for the counteroffer, Bob! I appreciate you being flexible. How about we meet in the middle at...",130.0,Alice,3,,
,,Bob,3,RejectOffer,
"I understand you're looking for a fair price, Alice. How about $115? That's a reasonable compromise.",115.0,Bob,4,,
,,Alice,4,RejectOffer,125.0
"Thanks, Bob! I'm still aiming for a slightly higher price. How about...",125.0,Alice,5,,
,,Bob,5,AcceptOffer,
