message,product_price,player,round,decision
"Good day Bob, I'm pleased to offer you our premium product. Given its value and value it will generate for you, I'm sure you'll find our price of $950000 quite reasonable.",950000.0,Alice,1,
,,Bob,1,RejectOffer
"Thank you for your offer, Alice. I'm interested in the product, but I need to stay within my budget. I'd like to counter with $750000. Let me know if this works for you.",750000.0,Bob,2,
,,Alice,2,RejectOffer
"Hi Bob, I considered your perspective and I'm willing to lower my price to $900000. This is a great value for the product and I believe it's a win-win for both of us.",900000.0,Alice,3,
,,Bob,3,RejectOffer
"Thanks for coming down on the price, Alice. I appreciate it, but I'm still trying to keep costs down. How about we settle at $800000? I think that's a fair price for both of us.",800000.0,Bob,4,
,,Alice,4,RejectOffer
"Bob, I want to close this deal as much as you do. I am willing to come down to $860000. It's a bargain and the product will be worth the price.",860000.0,Alice,5,
,,Bob,5,RejectOffer
"Alice, I understand you're trying to meet me halfway, and I appreciate that. Let's try to find a middle ground. How about $820000? I believe this is a reasonable compromise.",820000.0,Bob,6,
,,Alice,6,RejectOffer
"Bob, I believe we're close to an agreement. I'm willing to lower my price to $830000. This is a great deal for both of us, and I think we should seize this opportunity.",830000.0,Alice,7,
,,Bob,7,RejectOffer
"Alice, we're getting closer. I'm willing to go up to $825000. This is my final offer before considering other options. Let's make this work.",825000.0,Bob,8,
,,Alice,8,AcceptOffer
