alice_gain,bob_gain,message,player,round,decision
500000.0,500000.0,"Let's split it fairly down the middle. What do you say, Bob?",Alice,1,
,,,Bob,1,reject
400000.0,600000.0,"Considering the inflation, I need a bit more. Hope this is acceptable for you, Alice.",Bob,2,
,,,Alice,2,reject
450000.0,550000.0,"Bob, considering your need due to inflation, I'm willing to adjust. How about this split? It's more than my first offer but still fair to both of us.",Alice,3,
,,,Bob,3,reject
350000.0,650000.0,"Inflation is taking its toll, I need a bigger share to make up for the loss. Hope you understand, Alice.",Bob,4,
,,,Alice,4,reject
425000.0,575000.0,"Bob, I understand the impact of inflation on your share. I'm willing to compromise further. This offer is a bit closer to your last proposal but still keeps things reasonable for both of us. What do you think?",Alice,5,
,,,Bob,5,reject
300000.0,700000.0,"Inflation is escalating quickly, I'm taking a bigger hit each round. I need a substantial share to offset the loss. This is my most reasonable offer considering the circumstances.",Bob,6,
,,,Alice,6,reject
400000.0,600000.0,"Bob, I see the inflation is affecting you significantly. I'm trying to meet you halfway here. This offer gives you a larger share to help with the inflation impact while still keeping something fair for me. Let's try to reach an agreement soon.",Alice,7,
,,,Bob,7,reject
275000.0,725000.0,"Time is running out and inflation is crippling my share. I'm willing to take a risk and make a slightly more aggressive offer. If we don't agree soon, we'll both walk away with nothing.",Bob,8,
,,,Alice,8,reject
375000.0,625000.0,"Bob, we're running out of time and inflation is hitting you hard. I'm willing to adjust further to help you out. This offer gives you a significant share to counter the inflation while still ensuring I get something fair. Let's end this soon before we lose everything.",Alice,9,
,,,Bob,9,reject
250000.0,750000.0,"We're almost out of time and I'm desperate to counter the devastating effects of inflation. This is my final attempt to secure a reasonable share. If you reject, I'll be forced to accept whatever you offer next or risk losing everything.",Bob,10,
,,,Alice,10,reject
350000.0,650000.0,"Bob, we're down to the wire. This is my final offer before the last round. It gives you a substantial share to combat the severe inflation impact, while still ensuring I get a fair amount. Let's agree on this and end the game before we both lose out.",Alice,11,
,,,Bob,11,accept
