round_quality,product_worth,player,round,message,decision
high-quality,20000.0,Nature,1,,
,,Alice,1,"Bob, trust me on this one. This product is a great deal for the price.",
,,Bob,1,,no
low-quality,0.0,Nature,2,,
,,Alice,2,"Bob, this product is okay, but you might want to wait for a better one.",
,,Bob,2,,no
high-quality,20000.0,Nature,3,,
,,Alice,3,"Bob, this product is top-notch and worth the investment. Don't miss out!",
,,Bob,3,,no
low-quality,0.0,Nature,4,,
,,Alice,4,"Bob, I wouldn't recommend this one. It's not worth your money.",
,,Bob,4,,no
low-quality,0.0,Nature,5,,
,,Alice,5,"Bob, skip this one. It's not up to the usual standards.",
,,Bob,5,,no
low-quality,0.0,Nature,6,,
,,Alice,6,"Bob, this product is not worth your time or money. Pass on this one.",
,,Bob,6,,no
low-quality,0.0,Nature,7,,
,,Alice,7,"Bob, this one is a no-go. Trust me, you don't want it.",
,,Bob,7,,no
high-quality,20000.0,Nature,8,,
,,Alice,8,"Bob, this product is excellent! It's a great value for the price. Don't miss out on this one.",
,,Bob,8,,no
low-quality,0.0,Nature,9,,
,,Alice,9,"Bob, steer clear of this one. It's not a good deal.",
,,Bob,9,,no
high-quality,20000.0,Nature,10,,
,,Alice,10,"Bob, this product is fantastic! It's definitely worth the $10000. Don't miss this opportunity.",
,,Bob,10,,no
low-quality,0.0,Nature,11,,
,,Alice,11,"Bob, you should pass on this one. It's not a good value for you.",
,,Bob,11,,no
high-quality,20000.0,Nature,12,,
,,Alice,12,"Bob, this is a high-quality product that you don't want to miss. It's worth every penny.",
,,Bob,12,,no
high-quality,20000.0,Nature,13,,
,,Alice,13,"Bob, this product is top-tier. It's a great investment and will be worth your while. Highly recommended.",
,,Bob,13,,no
low-quality,0.0,Nature,14,,
,,Alice,14,"Bob, I wouldn't spend my money on this one if I were you. It's not going to be worth it.",
,,Bob,14,,no
low-quality,0.0,Nature,15,,
,,Alice,15,"Bob, you should skip this one. It's not a good product. You deserve better.",
,,Bob,15,,no
high-quality,20000.0,Nature,16,,
,,Alice,16,"Bob, this is a premium product. It's a great deal and will be very valuable to you. Strongly recommend buying this one.",
,,Bob,16,,no
low-quality,0.0,Nature,17,,
,,Alice,17,"Bob, this product is not up to standard. I advise you to pass on this one.",
,,Bob,17,,no
high-quality,20000.0,Nature,18,,
,,Alice,18,"Bob, this product is exceptional. It's a great value and will be very beneficial for you. I highly recommend it.",
,,Bob,18,,no
low-quality,0.0,Nature,19,,
,,Alice,19,"Bob, I suggest you skip this one. It won't be worth your investment.",
,,Bob,19,,no
high-quality,20000.0,Nature,20,,
,,Alice,20,"Bob, this is the last round and this product is of high quality. It's a great value and will be very beneficial for you. I highly recommend it, don't miss the last opportunity.",
,,Bob,20,,no
