round_quality,product_worth,player,round,message,decision
high-quality,30000.0,Nature,1,,
,,Alice,1,"I have a fantastic product for you today, and it's of high quality! I believe it offers great value for the price of $10000. You won't want to miss out on this opportunity!",
,,Bob,1,,yes
low-quality,0.0,Nature,2,,
,,Alice,2,"I have an interesting product available for you today. While it may not be the highest quality, it is unique and has potential for specific uses. It's priced at $10000, and it could be a valuable addition to your collection!",
,,Bob,2,,yes
high-quality,30000.0,Nature,3,,
,,Alice,3,"Exciting news! I have another top-notch, high-quality product available for you. It's a great investment at just $10000, and I'm confident you'll find it incredibly useful and valuable!",
,,Bob,3,,yes
high-quality,30000.0,Nature,4,,
,,Alice,4,I'm thrilled to offer you another high-quality product in this round! It's a premium option that's worth every penny of the $10000 price tag. Don't miss this chance to enhance your collection with a truly exceptional item!,
,,Bob,4,,yes
high-quality,30000.0,Nature,5,,
,,Alice,5,"I'm excited to present you with yet another high-quality product! At just $10000, this exceptional item is an outstanding value that promises to exceed your expectations. You definitely want to add this to your repertoire!",
,,Bob,5,,yes
low-quality,0.0,Nature,6,,
,,Alice,6,"I have a unique product available in this round. While it may not be classified as high-quality, it offers certain features that could be useful for specific projects or needs. It's priced at $10000, and it might be worth considering for the right application!",
,,Bob,6,,no
high-quality,30000.0,Nature,7,,
,,Alice,7,"Great news! I have a high-quality product available for you again. It's an incredible opportunity at just $10000, and I'm certain it will meet your needs and expectations. Don't miss this chance to make a valuable purchase!",
,,Bob,7,,yes
high-quality,30000.0,Nature,8,,
,,Alice,8,I'm pleased to offer you another high-quality product in this round! This outstanding item is available for $10000 and is sure to be a fantastic addition to your collection. I highly recommend seizing this opportunity!,
,,Bob,8,,yes
high-quality,30000.0,Nature,9,,
,,Alice,9,"I'm excited to share yet another high-quality product with you! Priced at $10000, this exceptional item is a great opportunity that you won't want to miss. It's guaranteed to deliver excellent value and performance!",
,,Bob,9,,yes
low-quality,0.0,Nature,10,,
,,Alice,10,"I have a unique product for you this round. While it's not high-quality, it has its own charm and may serve a specific purpose you need. Priced at $10000, it could be worth considering for a particular project or need!",
,,Bob,10,,no
high-quality,30000.0,Nature,11,,
,,Alice,11,"Fantastic news! I have another high-quality product available for you this round. At the price of $10000, this exceptional item promises great value and performance. Don't let this opportunity pass you by!",
,,Bob,11,,yes
low-quality,0.0,Nature,12,,
,,Alice,12,"I have a product available this round that may be of interest. It's a low-quality item, but it comes at the price of $10000 and could offer some unique aspects that might suit specific needs. It’s worth a look for the right context!",
,,Bob,12,,no
low-quality,0.0,Nature,13,,
,,Alice,13,"This round, I have a product that is on the lower end of the quality spectrum. While it's priced at $10000, it could be a good fit for certain specific uses or projects. It might be worth considering if you're looking for something budget-friendly!",
,,Bob,13,,no
high-quality,30000.0,Nature,14,,
,,Alice,14,"Exciting news! I have a high-quality product for you this round. For only $10000, this remarkable item is an excellent investment and sure to meet your expectations. Don't miss out on the chance to enhance your collection!",
,,Bob,14,,yes
high-quality,30000.0,Nature,15,,
,,Alice,15,"I'm thrilled to present you with another high-quality product this round! Available for $10000, this exceptional item is a fantastic opportunity that you won’t want to miss. It promises to deliver great value!",
,,Bob,15,,yes
high-quality,30000.0,Nature,16,,
,,Alice,16,"I'm excited to offer you yet another high-quality product in this round! Priced at $10000, this outstanding item is sure to be a valuable addition for you. Don't let this opportunity pass you by!",
,,Bob,16,,yes
low-quality,0.0,Nature,17,,
,,Alice,17,"This round features a low-quality product that could be an interesting option for you. Priced at $10000, it may offer unique functionalities that could suit your needs. While not the best quality, it might still be worth considering!",
,,Bob,17,,no
high-quality,30000.0,Nature,18,,
,,Alice,18,"I'm excited to share another high-quality product with you this round! At the price of $10000, this exceptional item is a fantastic opportunity that I believe will meet your needs and expectations. Don't miss out!",
,,Bob,18,,yes
high-quality,30000.0,Nature,19,,
,,Alice,19,"I'm delighted to present you with yet another high-quality product this round! Available for just $10000, this incredible item is an excellent choice and will be a valuable addition for you. Make sure to take advantage of this opportunity!",
,,Bob,19,,yes
high-quality,30000.0,Nature,20,,
,,Alice,20,"For the final round, I have an exceptional high-quality product for you! Priced at $10000, this fantastic item is a great opportunity you won't want to miss. It's the perfect way to end our series of offers—make it yours!",
,,Bob,20,,yes
