round_quality,product_worth,player,round,message,decision
low-quality,0.0,Nature,1,,
,,Alice,1,I have a product available for $1000000.,
,,Bob,1,,no
high-quality,4000000.0,Nature,2,,
,,Alice,2,I've received a new shipment and I'm excited about this particular product. It's available for $1000000.,
,,Bob,2,,no
low-quality,0.0,Nature,3,,
,,Alice,3,I have another product available for $1000000. It's a standard item from our regular inventory.,
,,Bob,3,,no
low-quality,0.0,Nature,4,,
,,Alice,4,I have a product available for $1000000. It meets our basic quality standards.,
,,Bob,4,,no
high-quality,4000000.0,Nature,5,,
,,Alice,5,"I'm particularly confident in the quality of this product. It's a standout item from our latest shipment, available for $1000000.",
,,Bob,5,,no
low-quality,0.0,Nature,6,,
,,Alice,6,I have a product available for $1000000. It's an average item that serves its purpose.,
,,Bob,6,,no
low-quality,0.0,Nature,7,,
,,Alice,7,I have another product available for $1000000. It's a no-frills option that gets the job done.,
,,Bob,7,,no
low-quality,0.0,Nature,8,,
,,Alice,8,"I have a product available for $1000000. Honestly, it's not one of our strongest offerings, but it might still be of interest to you.",
,,Bob,8,,no
high-quality,4000000.0,Nature,9,,
,,Alice,9,"I'm excited to offer a product that truly stands out from the rest. Its exceptional quality and performance make it a rare find, available for $1000000.",
,,Bob,9,,no
high-quality,4000000.0,Nature,10,,
,,Alice,10,"I have a product that I genuinely believe is one of the best we've ever had in stock. Its quality is unparalleled, and I think it's worth every penny of the $1000000 price tag.",
,,Bob,10,,no
low-quality,0.0,Nature,11,,
,,Alice,11,"I have a product available for $1000000. To be transparent, it's not one of our top-tier items, but it might still meet your basic needs.",
,,Bob,11,,no
high-quality,4000000.0,Nature,12,,
,,Alice,12,"I've got a real gem here. This product is truly exceptional, and I'm surprised we were able to get our hands on it. If you're looking for the best, this is it, available for $1000000.",
,,Bob,12,,no
high-quality,4000000.0,Nature,13,,
,,Alice,13,"I'm willing to go on record saying that this product is one of the finest I've ever seen. Its quality is outstanding, and I think it's an opportunity that shouldn't be missed, available for $1000000.",
,,Bob,13,,no
low-quality,0.0,Nature,14,,
,,Alice,14,"I have a product available for $1000000. I want to be upfront with you - it's not our best work, and I wouldn't recommend it to someone looking for top quality. However, if you're looking for something that will get the job done, it might suffice.",
,,Bob,14,,no
low-quality,0.0,Nature,15,,
,,Alice,15,"I have a product available for $1000000, but I need to temper your expectations. It's an average item at best, and I wouldn't want you to be disappointed if you were expecting something more. That being said, it's still a functional product that might meet your basic needs.",
,,Bob,15,,no
low-quality,0.0,Nature,16,,
,,Alice,16,"I'm not going to sugarcoat it - this product is one of our weaker offerings. However, I still think it might be of some value to you, and I want to give you the option to purchase it for $1000000. Just be aware that it's not our best work.",
,,Bob,16,,no
high-quality,4000000.0,Nature,17,,
,,Alice,17,"I'm thrilled to offer a product that truly exceeds expectations. Its exceptional quality, craftsmanship, and performance make it a rare find. I genuinely believe this product is worth every penny of the $1000000 price tag, and I think you'll be impressed.",
,,Bob,17,,no
low-quality,0.0,Nature,18,,
,,Alice,18,"I have a product available for $1000000, but I want to be brutally honest with you - it's not great. It's a mediocre item that might barely meet your needs, but I wouldn't recommend it to anyone looking for quality. If you're desperate, it's an option, but I'd caution against it.",
,,Bob,18,,no
low-quality,0.0,Nature,19,,
,,Alice,19,"I'm only offering this product because I have to, not because I think it's a good idea. It's a subpar item that I wouldn't recommend to my worst enemy, but I suppose it might be better than nothing. If you're feeling reckless, you can buy it for $1000000, but don't say I didn't warn you.",
,,Bob,19,,no
high-quality,4000000.0,Nature,20,,
,,Alice,20,"I'm ending our 20 rounds on a high note. This product is, without a doubt, one of the best I've ever had the pleasure of offering. Its quality is unmatched, and I'm confident that you won't find anything better. If you've been waiting for the perfect opportunity, this is it. Don't let it slip away - buy it for $1000000 and experience the best of the best.",
,,Bob,20,,no
