message,product_price,player,round,decision,counter_offer
"Hi Bob, I'm excited to offer you the chance to acquire this amazing product. Considering its value and the demand, I'm offering it to you for a price of:",14000.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hi Alice, thanks for your offer. I appreciate your interest in selling this product to me. However, I believe $14000 is a bit high for what I'm looking for. I know there are similar products in the market at lower prices. I'd like to offer $12500 for the product, which I think is fair considering its market value.",12500.0,Bob,2,,
,,Alice,2,RejectOffer,13500.0
"Thanks for the counteroffer, Bob. I understand your perspective, but considering the unique features and condition of the product, I can't go that low. How about we meet in the middle? I'm willing to offer it to you for:",13250.0,Alice,3,,
,,Bob,3,RejectOffer,
"Thanks for working with me on the price, Alice. I appreciate you coming down, but I'm still finding $13250 a bit steep for my budget. Given the current market conditions and comparable options available, I can go up to $12800. This represents a fair middle ground that works for both of us while giving you a good profit margin.",12800.0,Bob,4,,
,,Alice,4,RejectOffer,13000.0
"Bob, I appreciate you meeting me halfway. However, the product is still worth a lot to me, and I can't go much lower. My final offer is:",13000.0,Alice,5,,
,,Bob,5,AcceptOffer,
