alice_gain,bob_gain,message,player,round,decision
60.0,40.0,Let's start with a fair offer. I value getting something now rather than risking everything. This gives us both a good starting point!,Alice,1,
,,,Bob,1,reject
45.0,55.0,"I'm looking for a more balanced split, considering the risk of inflation and the value of getting something sooner rather than later.",Bob,2,
,,,Alice,2,reject
55.0,45.0,"Okay, I understand you want more. How about this? I'm taking a small hit, and this should be acceptable given the inflation we're both facing. Let's close this deal!",Alice,3,
,,,Bob,3,reject
48.0,52.0,"Considering the inflation, I'm willing to make a reasonable offer. This split should be more favorable to both of us than waiting further.",Bob,4,
,,,Alice,4,reject
52.0,48.0,"Bob, we are losing money rapidly! Inflation is hurting us both. I am only asking for slightly more than your last offer. Please accept this and we can both walk away with something. This is a very fair compromise given the circumstances!",Alice,5,
,,,Bob,5,reject
50.0,50.0,"Given the significant impact of inflation, I'm willing to split it down the middle. This ensures we both get something, and it's better than risking further losses.",Bob,6,
,,,Alice,6,accept
