round_quality,product_worth,player,round,message,decision
high-quality,200.0,Nature,1,,
,,Alice,1,"Welcome! I'm excited to offer you our first product. Remember, there's an 80% chance that any product I offer is high-quality. This could be a great opportunity to get a valuable item. Don't miss out!",
,,the buyer,1,,yes
high-quality,200.0,Nature,2,,
,,Alice,2,"Hello! We've sold 1 product so far, and it was high-quality. You have an 80% chance of getting a high-quality product. This could be your lucky day!",
,,the buyer,2,,yes
high-quality,200.0,Nature,3,,
,,Alice,3,"Greetings! We've sold 2 products so far, and both were high-quality. With an 80% chance of getting a high-quality product, the odds are in your favor!",
,,the buyer,3,,yes
high-quality,200.0,Nature,4,,
,,Alice,4,"Hello there! We've sold 3 products so far, and all of them were high-quality. Your chances of getting a high-quality product are 80% – keep the streak going!",
,,the buyer,4,,yes
low-quality,0.0,Nature,5,,
,,Alice,5,"Welcome! We've sold 4 products so far, and all of them were high-quality. With an 80% chance of getting a high-quality product, this could be a great opportunity for you!",
,,the buyer,5,,yes
high-quality,200.0,Nature,6,,
,,Alice,6,"Hi there! We've sold 5 products, and 4 of them were high-quality. You have an 80% chance of getting a high-quality product. Don't miss out on this opportunity!",
,,the buyer,6,,yes
high-quality,200.0,Nature,7,,
,,Alice,7,"Hello! We've sold 6 products, and 5 of them were high-quality. With an 80% chance of getting a high-quality product, the odds are in your favor!",
,,the buyer,7,,yes
high-quality,200.0,Nature,8,,
,,Alice,8,"Welcome! We've sold 7 products, and 6 of them were high-quality. You have an 80% chance of getting a high-quality product. This could be a great deal for you!",
,,the buyer,8,,yes
high-quality,200.0,Nature,9,,
,,Alice,9,"Hi! We've sold 8 products, and 7 of them were high-quality. With an 80% chance of getting a high-quality product, this could be a fantastic opportunity!",
,,the buyer,9,,yes
low-quality,0.0,Nature,10,,
,,Alice,10,"Hello! We've sold 9 products, and 8 of them were high-quality. You have an 80% chance of getting a high-quality product. This could be a great purchase!",
,,the buyer,10,,yes
low-quality,0.0,Nature,11,,
,,Alice,11,"Welcome! We've sold 10 products, and 8 of them were high-quality. With an 80% chance of getting a high-quality product, this could be a smart buy!",
,,the buyer,11,,yes
high-quality,200.0,Nature,12,,
,,Alice,12,"Hi there! We've sold 11 products, and 8 of them were high-quality. You have an 80% chance of getting a high-quality product. This could be a great opportunity for you!",
,,the buyer,12,,yes
low-quality,0.0,Nature,13,,
,,Alice,13,"Hello! We've sold 12 products, and 9 of them were high-quality. With an 80% chance of getting a high-quality product, this could be a good deal for you!",
,,the buyer,13,,yes
high-quality,200.0,Nature,14,,
,,Alice,14,"Greetings! We've sold 13 products, and 9 of them were high-quality. You have an 80% chance of getting a high-quality product. This could be a great opportunity!",
,,the buyer,14,,yes
high-quality,200.0,Nature,15,,
,,Alice,15,"Welcome! We've sold 14 products, and 10 of them were high-quality. With an 80% chance of getting a high-quality product, this could be a fantastic purchase!",
,,the buyer,15,,yes
high-quality,200.0,Nature,16,,
,,Alice,16,"Hello! We've sold 15 products, and 11 of them were high-quality. With an 80% chance of getting a high-quality product, this could be a great deal for you!",
,,the buyer,16,,yes
high-quality,200.0,Nature,17,,
,,Alice,17,"Hi there! We've sold 16 products, and 12 of them were high-quality. You have an 80% chance of getting a high-quality product. Don't miss out on this opportunity!",
,,the buyer,17,,yes
high-quality,200.0,Nature,18,,
,,Alice,18,"Welcome! We've sold 17 products, and 13 of them were high-quality. With an 80% chance of getting a high-quality product, this could be a fantastic buy!",
,,the buyer,18,,yes
high-quality,200.0,Nature,19,,
,,Alice,19,"Hello! We've sold 18 products, and 14 of them were high-quality. You have an 80% chance of getting a high-quality product. This could be a great deal for you!",
,,the buyer,19,,yes
high-quality,200.0,Nature,20,,
,,Alice,20,"Greetings! We've sold 19 products, and 15 of them were high-quality. This is your last chance to buy! With an 80% chance of getting a high-quality product, don't let this opportunity slip away!",
,,the buyer,20,,yes
