alice_gain,bob_gain,message,player,round,decision
500000.0,500000.0,Let's split it fairly down the middle. 500000$ for each of us.,Alice,1,
,,,Bob,1,reject
400000.0,600000.0,"I think I deserve a bit more, 60% for me, 40% for you.",Bob,2,
,,,Alice,2,reject
450000.0,550000.0,"Considering the inflation affecting my share, I propose 450000$ for me and 550000$ for you. This is a fair compromise given the circumstances.",Alice,3,
,,,Bob,3,reject
350000.0,650000.0,"Given the inflation affecting your share, I think 65% for me and 35% for you is a reasonable split.",Bob,4,
,,,Alice,4,reject
400000.0,600000.0,"With inflation now at 27.1% for me, I'm willing to adjust my offer to 400000$ for me and 600000$ for you. This should be a fair deal considering the diminishing value of my share.",Alice,5,
,,,Bob,5,accept
