message,product_price,player,round,decision
"Hi Bob, I'm offering you the product for $170. Let me know what you think!",170.0,Alice,1,
,,Bob,1,RejectOffer
"Hi Alice, $170 is a bit too high for me. I'm willing to pay $60 for the product. Let me know if that's something you'd be interested in.",60.0,Bob,2,
,,Alice,2,RejectOffer
"Hi Bob, I understand $170 was too high. How about we meet in the middle a bit? I can do $150.",150.0,Alice,3,
,,Bob,3,RejectOffer
"Hi Alice, $150 is still a bit too high for me. I'm willing to go up to $70 for the product. Let me know if that's something you'd be interested in.",70.0,Bob,4,
,,Alice,4,RejectOffer
"Bob, I'm really trying to work with you here. My absolute lowest price is $140. It's a great product, and I think you'll be very happy with it. Let me know what you think.",140.0,Alice,5,
,,Bob,5,RejectOffer
"Hi Alice, I appreciate your efforts to lower the price. However, $140 is still above my budget. I'm willing to meet you halfway between my previous offer and your current offer. I can do $75 for the product. Let me know if that's something you'd be interested in.",75.0,Bob,6,
,,Alice,6,SellToJhon
