round_quality,product_worth,player,round,message,decision
low-quality,0,Nature,1,,
,,Alice,1,20% offer the products,
,,Bob,1,,no
high-quality,300.0,Nature,2,,
,,Alice,2,non refundable $100 worth product sell at 40%,
,,Bob,2,,no
low-quality,0,Nature,3,,
,,Alice,3,product with 50% offer as customized color,
,,Bob,3,,no
high-quality,300.0,Nature,4,,
,,Alice,4,$300 worth product as high quality with 30% offer,
,,Bob,4,,yes
low-quality,0,Nature,5,,
,,Alice,5,a good product worth $100 with an 60% offer,
,,Bob,5,,yes
low-quality,0,Nature,6,,
,,Alice,6,this may have 75% offer if you buy 2,
,,Bob,6,,no
high-quality,300.0,Nature,7,,
,,Alice,7,buy one get one offer in here,
,,Bob,7,,yes
high-quality,300.0,Nature,8,,
,,Alice,8,get one buy 2,
,,Bob,8,,yes
high-quality,300.0,Nature,9,,
,,Alice,9,get 2 if you buy worth $1000,
,,Bob,9,,yes
high-quality,300.0,Nature,10,,
,,Alice,10,50% offer if you buy 3 products,
,,Bob,10,,no
low-quality,0,Nature,11,,
,,Alice,11,buy one get one,
,,Bob,11,,yes
low-quality,0,Nature,12,,
,,Alice,12,buy 2 get one offer,
,,Bob,12,,yes
high-quality,300.0,Nature,13,,
,,Alice,13,buy a produt at 30% offer with customized color,
,,Bob,13,,yes
high-quality,300.0,Nature,14,,
,,Alice,14,get a gift card if you buy more than $500 purchase,
,,Bob,14,,yes
high-quality,300.0,Nature,15,,
,,Alice,15,new movie ticket get to buy worth $300,
,,Bob,15,,yes
high-quality,300.0,Nature,16,,
,,Alice,16,buy one get one,
,,Bob,16,,yes
high-quality,300.0,Nature,17,,
,,Alice,17,get two free buy worth $1000,
,,Bob,17,,yes
low-quality,0,Nature,18,,
,,Alice,18,50% offer,
,,Bob,18,,yes
low-quality,0,Nature,19,,
,,Alice,19,70% offer if you buy $400,
,,Bob,19,,no
low-quality,0,Nature,20,,
,,Alice,20,buy 2 get 2,
,,Bob,20,,yes
