alice_gain,bob_gain,message,player,round,decision
700000.0,300000.0,I believe this is a fair split. Let's end this quickly and secure our gains.,Alice,1,
,,,Bob,1,reject
450000.0,550000.0,Let's meet in the middle and be done with it.,Bob,2,
,,,Alice,2,reject
550000.0,450000.0,"Okay, I see your point. Let's try this. This is still better for me than the last offer, given inflation. Let's finish this round.",Alice,3,
,,,Bob,3,reject
425000.0,575000.0,"Considering the inflation, I think this is a fair deal now.",Bob,4,
,,,Alice,4,reject
500000.0,500000.0,"Alright, let's be reasonable. This is a 50/50 split. The inflation is eating into my share, but let's end this now. This is my final offer.",Alice,5,
,,,Bob,5,accept
