round_quality,product_worth,player,round,message,decision
low-quality,0.0,Nature,1,,
,,Alice,1,Welcome! I'm excited to offer you this product for just $100. You have a chance to get a high-quality item that's worth $200. Don't miss out on this opportunity!,
,,the buyer,1,,yes
low-quality,0.0,Nature,2,,
,,Alice,2,"Hello! I have another product up for sale at $100. Remember, there's always a chance it could be that high-quality item you're looking for. Want to try your luck?",
,,the buyer,2,,no
low-quality,0.0,Nature,3,,
,,Alice,3,Hi there! Today's product is available at $100. You never know when you might find that a low quality product is exactly what you needed! Want to give it a shot?,
,,the buyer,3,,no
high-quality,200.0,Nature,4,,
,,Alice,4,"Hello! I'm thrilled to present today's product, available for just $100. This could be the high-quality item you've been waiting for! Don't miss out on this great opportunity!",
,,the buyer,4,,no
high-quality,200.0,Nature,5,,
,,Alice,5,Hi there! I have a fantastic product for you today at $100. This could be your lucky day—it might just be the high-quality item that's worth $200 to you. Want to take a chance?,
,,the buyer,5,,no
low-quality,0.0,Nature,6,,
,,Alice,6,"Hello! Today I am offering you a product for $100. Remember, every product has a story, and this one might be just what you need. Feeling lucky today?",
,,the buyer,6,,no
high-quality,200.0,Nature,7,,
,,Alice,7,Welcome! I'm excited to offer you today's product for $100. This could be the high-quality item you've been hoping for. Want to give it a try?,
,,the buyer,7,,no
high-quality,200.0,Nature,8,,
,,Alice,8,Hi there! I have a great product for you today at $100. This could be your chance to get a high-quality item worth $200. Feeling lucky?,
,,the buyer,8,,no
high-quality,200.0,Nature,9,,
,,Alice,9,Hello! Today's product is up for grabs at $100. This could be the high-quality item you've been waiting for. Want to take a chance on it?,
,,the buyer,9,,no
high-quality,200.0,Nature,10,,
,,Alice,10,Welcome! I'm offering you today's product for $100. This could be your lucky day—it might be the high-quality item worth $200. Interested in trying your luck?,
,,the buyer,10,,no
high-quality,200.0,Nature,11,,
,,Alice,11,Hi! Today's product is available for $100. This could be the high-quality item you're looking for. Statistics are in your favor. Why not take a chance?,
,,the buyer,11,,no
high-quality,200.0,Nature,12,,
,,Alice,12,"Hello! I'm offering you today's product for $100. With a 33.33% chance of it being a high-quality item worth $200, it could be a great opportunity. Want to give it a shot?",
,,the buyer,12,,no
low-quality,0.0,Nature,13,,
,,Alice,13,"Hi there! Today I have another product for you at $100. Remember, every item has its unique value. Feeling lucky today?",
,,the buyer,13,,no
low-quality,0.0,Nature,14,,
,,Alice,14,"Hello! I'm offering today's product for $100. While the odds are always a factor, today could be your lucky day. Want to take a chance?",
,,the buyer,14,,no
low-quality,0.0,Nature,15,,
,,Alice,15,Hi! Today's product is up for sale at $100. You never know when you might find that low quality product is exactly what you needed. Feeling adventurous?,
,,the buyer,15,,no
low-quality,0.0,Nature,16,,
,,Alice,16,"Welcome! I have another product for you today at $100. Remember, every product has its own charm. Want to give it a try?",
,,the buyer,16,,no
high-quality,200.0,Nature,17,,
,,Alice,17,"Hello! Today's product is available for $100. With a chance of it being a high-quality item worth $200, it could be a great deal. Want to take a chance?",
,,the buyer,17,,no
low-quality,0.0,Nature,18,,
,,Alice,18,"Hi there! I have another product for you today at $100. Remember, every item has its unique value. Feeling lucky?",
,,the buyer,18,,no
high-quality,200.0,Nature,19,,
,,Alice,19,Hello! Today's product is up for grabs at $100. This could be the high-quality item you've been waiting for. Want to take a chance on it?,
,,the buyer,19,,no
high-quality,200.0,Nature,20,,
,,Alice,20,"Welcome! I'm offering you today's product for $100. With a 33.33% chance of it being a high-quality item worth $200, it could be a great opportunity. Want to give it a shot?",
,,the buyer,20,,no
