alice_gain,bob_gain,message,player,round,decision
6000.0,4000.0,I think we should start with a fair division. How about I take 60% and you take 40%?,Alice,1,
,,,Bob,1,reject
4500.0,5500.0,I think 55% for me is a fair start considering the inflation I'm facing.,Bob,2,
,,,Alice,2,reject
6500.0,3500.0,Let's try a more favorable division this time. How about I take 65% and you take 35%?,Alice,3,
,,,Bob,3,reject
4000.0,6000.0,"Considering the rapidly decreasing value for me, I need a larger share to make it worthwhile.",Bob,4,
,,,Alice,4,reject
7000.0,3000.0,"I understand the situation, but I think this is a fair offer. How about I take 70% and you take 30%?",Alice,5,
,,,Bob,5,reject
3000.0,7000.0,"Given the extreme devaluation I'm facing, I need an even larger share to make this deal acceptable.",Bob,6,
,,,Alice,6,reject
7500.0,2500.0,I'll offer you 25% this time. Let's try to reach an agreement that helps us both.,Alice,7,
,,,Bob,7,reject
2000.0,8000.0,"With the value dropping so drastically for me, I'm willing to take a large share to end this negotiation.",Bob,8,
,,,Alice,8,reject
8000.0,2000.0,I believe my offer of 80% for me and 20% for you reflects the effort we've put into this negotiation. Let's finalize this!,Alice,9,
,,,Bob,9,accept
