message,product_price,player,round,decision
Hi Bob! I'm excited to discuss the opportunity to sell you the product. I believe it has great value for you. I would like to offer it to you for $1500000. Looking forward to your thoughts!,1500000.0,Alice,1,
,,Bob,1,RejectOffer
"Hi Alice! Thank you for the offer. I really value the product, but the price is a bit higher than I'd like to consider. How about we agree on $1000000? I think it's a fair price for both of us and would allow us to close the deal quickly.",1000000.0,Bob,2,
,,Alice,2,RejectOffer
"Hi Bob! I appreciate your counteroffer, but I believe the product is worth a bit more. How about we meet in the middle? I'm willing to sell it for $1350000. Let me know what you think!",1350000.0,Alice,3,
,,Bob,3,RejectOffer
"Thanks for your flexibility, Alice. I appreciate your willingness to negotiate. However, the highest I'm prepared to go is $1150000. I hope we can reach an agreement with this offer.",1150000.0,Bob,4,
,,Alice,4,RejectOffer
"Hi Bob! Thank you for your offer. I understand your position and appreciate your willingness to negotiate. However, I can't go that low. How about we settle at $1300000? I believe it's a fair price for both parties. Let me know your thoughts!",1300000.0,Alice,5,
,,Bob,5,BuyFromJhon
