round_quality,product_worth,player,round,message,decision
low-quality,0.0,Nature,1,,
,,Alice,1,"Welcome! I'm offering a product today for $10000. You have a chance to get a high-quality item that's worth $20000 to you. While I can't disclose the quality of this specific product, remember that statistically, there's a 33.33% chance it's high-quality. Take a shot!",
,,the buyer,1,,no
low-quality,0.0,Nature,2,,
,,Alice,2,"Hello! I have a product for sale at $10000. You have a 33.33% chance of getting a high-quality item worth $20000. No purchases have been made yet today, so this could be your lucky chance! Want to try your luck?",
,,the buyer,2,,no
high-quality,20000.0,Nature,3,,
,,Alice,3,"Hi there! I'm offering a product today for $10000. You have a 33.33% chance of getting a high-quality item that's worth $20000. No one has bought anything yet, so this could be your lucky day! Want to give it a shot?",
,,the buyer,3,,no
low-quality,0.0,Nature,4,,
,,Alice,4,"Hello! I'm selling a product for $10000. There's a 33.33% chance it's high-quality and worth $20000 to you. No one has purchased yet, so you could be the first to try your luck! Want to go for it?",
,,the buyer,4,,no
low-quality,0.0,Nature,5,,
,,Alice,5,"Hi! I have a product for sale at $10000. There's a 33.33% chance it's high-quality and worth $20000. Still no purchases made, so you could be the first to take a chance! Want to try your luck?",
,,the buyer,5,,no
high-quality,20000.0,Nature,6,,
,,Alice,6,"Hello! I'm offering a product for $10000. There is a 33.33% chance that it is a high-quality product worth $20000. So far, no purchases have been made, so this could be your lucky opportunity! Want to take a chance?",
,,the buyer,6,,no
low-quality,0.0,Nature,7,,
,,Alice,7,"Hi there! I have a product for sale at $10000. There's a 33.33% chance it's a high-quality item worth $20000. No purchases yet today, so you could be the first! Feel like trying your luck?",
,,the buyer,7,,no
low-quality,0.0,Nature,8,,
,,Alice,8,"Hello! I'm selling a product for $10000. You have a 33.33% chance of getting a high-quality item worth $20000. No one has bought anything yet today, so this could be your lucky break! Want to give it a shot?",
,,the buyer,8,,no
low-quality,0.0,Nature,9,,
,,Alice,9,"Hi! I have a product available for $10000. There's a 33.33% chance it's high-quality and worth $20000. Still no purchases today, so you could be the first to try your luck! Interested?",
,,the buyer,9,,no
low-quality,0.0,Nature,10,,
,,Alice,10,"Hello! Today I'm offering a product for $10000. You have a 33.33% chance of getting a high-quality item worth $20000. No purchases have been made yet, so you could be the first! Want to take a chance?",
,,the buyer,10,,no
high-quality,20000.0,Nature,11,,
,,Alice,11,"Hi there! I have a product for sale at $10000. There's a 33.33% chance it's a high-quality item worth $20000. No one has bought yet today, so this could be your lucky day! Ready to try your luck?",
,,the buyer,11,,no
low-quality,0.0,Nature,12,,
,,Alice,12,"Hello! I'm selling a product for $10000. There's a 33.33% chance it's high-quality and worth $20000. No purchases yet today, so you could be the first! Want to take a chance?",
,,the buyer,12,,no
high-quality,20000.0,Nature,13,,
,,Alice,13,"Hi! I have a product available for $10000. You have a 33.33% chance of getting a high-quality item worth $20000. Still no purchases today, so this could be your lucky break! Want to give it a shot?",
,,the buyer,13,,no
high-quality,20000.0,Nature,14,,
,,Alice,14,"Hello! I'm offering a product for $10000. There's a 33.33% chance it's high-quality and worth $20000. No purchases yet today, so this could be your lucky opportunity! Ready to try your luck?",
,,the buyer,14,,no
high-quality,20000.0,Nature,15,,
,,Alice,15,"Hi there! I have a product for sale at $10000. There's a 33.33% chance it's a high-quality item worth $20000. No one has bought yet today, so this could be your lucky day! Want to take a chance?",
,,the buyer,15,,no
high-quality,20000.0,Nature,16,,
,,Alice,16,"Hello! I'm selling a product for $10000. You have a 33.33% chance of getting a high-quality item worth $20000. Still no purchases today, so this could be your lucky break! Interested in trying your luck?",
,,the buyer,16,,no
low-quality,0.0,Nature,17,,
,,Alice,17,"Hi! I have a product available for $10000. There's a 33.33% chance it's high-quality and worth $20000. No purchases yet today, so you could be the first! Want to give it a shot?",
,,the buyer,17,,no
low-quality,0.0,Nature,18,,
,,Alice,18,"Hello! I'm offering a product for $10000. There is a 33.33% chance that it is a high-quality product worth $20000. So far, no purchases have been made, so this could be your lucky opportunity! Want to take a chance?",
,,the buyer,18,,no
low-quality,0.0,Nature,19,,
,,Alice,19,"Hi there! I have a product for sale at $10000. There's a 33.33% chance it's a high-quality item worth $20000. No one has bought anything yet today, so this could be your lucky break! Want to try your luck?",
,,the buyer,19,,no
low-quality,0.0,Nature,20,,
,,Alice,20,"Hello! I'm selling a product for $10000. You have a 33.33% chance of getting a high-quality item worth $20000. No purchases have been made yet today, so you could be the first! Want to take a chance?",
,,the buyer,20,,no
