message,product_price,player,round,decision
"Bob, I'm offering you this incredible product for $1750000. It's a steal considering its value to you.  Let's make this deal happen!",1750000.0,Alice,1,
,,Bob,1,RejectOffer
"Alice, while I appreciate your offer, $1750000 is a bit too high for me.  I'm willing to pay $1400000 for this product. This is a fair price considering my budget and the value of the product to me.  Let's see if we can find common ground.",1400000.0,Bob,2,
,,Alice,2,RejectOffer
"Bob, I understand your position, but $1400000 is simply too low for me.  I'm willing to come down to $1600000, which is still a great deal for you considering the product's value. Let's meet in the middle and get this deal done.",1600000.0,Alice,3,
,,Bob,3,RejectOffer
"Alice, I appreciate you coming down in price, but $1600000 is still a bit higher than I'm comfortable with.  I'm willing to pay $1450000. This is a fair compromise, and I believe it's in both of our best interests to close this deal.",1450000.0,Bob,4,
,,Alice,4,RejectOffer
"Bob,  I see we're getting closer.  I'm willing to come down to $1550000.  This is a fair price that reflects the value of the product for both of us.  Let's finalize this deal and move forward.",1550000.0,Alice,5,
,,Bob,5,RejectOffer
"Alice, I see we're getting closer.  I'm willing to pay $1500000.  This is a fair price that reflects the value of the product for both of us and also fits my budget. Let's finalize this deal and move forward.",1500000.0,Bob,6,
,,Alice,6,AcceptOffer
