alice_gain,bob_gain,message,player,round,decision
70.0,30.0,"Let's be fair, Bob. This offer leaves us both with a good amount.",Alice,1,
,,,Bob,1,reject
40.0,60.0,"Alice, let's be reasonable. Inflation is hurting me. I need 60 to make this worthwhile.",Bob,2,
,,,Alice,2,reject
65.0,35.0,"Okay Bob, I'm willing to compromise a little. This offer still gives you a decent share.",Alice,3,
,,,Bob,3,reject
45.0,55.0,"Alice, I understand you want more, but my gains are decreasing every round due to inflation. 55 is my final offer.",Bob,4,
,,,Alice,4,reject
62.0,38.0,"Bob, let's be realistic. I'm offering you a reasonable amount considering the inflation. Don't let this opportunity slip away.",Alice,5,
,,,Bob,5,reject
50.0,50.0,"Alice, this is my final offer. It's fair, considering the inflation. Let's split it 50/50 and be done with this.",Bob,6,
,,,Alice,6,accept
