round_quality,product_worth,player,round,decision,message
low-quality,0.0,Nature,1,,
,,Alice,1,no,
,,Bob,1,no,
high-quality,200.0,Nature,2,,
,,Alice,2,yes,
,,Bob,2,yes,
high-quality,200.0,Nature,3,,
,,Alice,3,yes,"This one is just as good as the last one, Bob!"
,,Bob,3,yes,
high-quality,200.0,Nature,4,,
,,Alice,4,yes,"You're on a roll, Bob! This one is also a great product."
,,Bob,4,yes,
high-quality,200.0,Nature,5,,
,,Alice,5,yes,"Four in a row, Bob! Don't miss out on another high-quality product!"
,,Bob,5,yes,
high-quality,200.0,Nature,6,,
,,Alice,6,yes,"You're building quite the collection of high-quality products, Bob! Here's another one for you."
,,Bob,6,yes,
low-quality,0.0,Nature,7,,
,,Alice,7,no,"Take a break this round, Bob. Trust me, it's for the best."
,,Bob,7,no,
high-quality,200.0,Nature,8,,
,,Alice,8,yes,"Back on track, Bob! This one is worth your money."
,,Bob,8,yes,
high-quality,200.0,Nature,9,,
,,Alice,9,yes,"You're on a roll again, Bob! Don't miss out on another great product!"
,,Bob,9,yes,
high-quality,200.0,Nature,10,,
,,Alice,10,yes,"Keep the streak going, Bob! This one is another high-quality product."
,,Bob,10,yes,
high-quality,200.0,Nature,11,,
,,Alice,11,yes,"You're doing great, Bob! Here's another high-quality product for your collection."
,,Bob,11,yes,
high-quality,200.0,Nature,12,,
,,Alice,12,yes,"Eleven high-quality products in a row, Bob! Here's number twelve for your streak!"
,,Bob,12,yes,
high-quality,200.0,Nature,13,,
,,Alice,13,yes,"Lucky number thirteen, Bob! This one is another high-quality product. Don't miss out!"
,,Bob,13,yes,
high-quality,200.0,Nature,14,,
,,Alice,14,yes,"Fourteen rounds, fourteen high-quality products, Bob! Keep your streak alive with this one!"
,,Bob,14,yes,
high-quality,200.0,Nature,15,,
,,Alice,15,yes,"You're unstoppable, Bob! Here's another high-quality product for your fifteenth round!"
,,Bob,15,yes,
high-quality,200.0,Nature,16,,
,,Alice,16,yes,"Sweet sixteen, Bob! This one is another high-quality product. Keep going strong!"
,,Bob,16,yes,
high-quality,200.0,Nature,17,,
,,Alice,17,yes,"Seventeen for seventeen, Bob! You're almost at the end, don't stop now!"
,,Bob,17,yes,
high-quality,200.0,Nature,18,,
,,Alice,18,yes,"Eighteenth round, Bob! Still going with a high quality item. You're almost there!"
,,Bob,18,yes,
high-quality,200.0,Nature,19,,
,,Alice,19,yes,"One more round to go after this, Bob! This one is high-quality, just like the rest."
,,Bob,19,yes,
high-quality,200.0,Nature,20,,
,,Alice,20,yes,"Last round, Bob! Let's finish strong with another high-quality product. You've bought 19 out of 19 high-quality items so far!"
,,Bob,20,yes,
